Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Bandwidth,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,Cell Id,DSS,Ref Signal - Timeoffset,Ref Signal - Timeoffset (msec),Ref Signal - Delay Spread,Ref Signal - Received Power,Adjusted Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,Sync Signal - Timeoffset,Sync Signal - Timeoffset (msec),Primary Sync Channel Received Power,Adjusted Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,MIB,SIB1,SI,Frequency Offset
06/29/2026,15:55:58:150,38.903706,-77.007056,6,1,550,4,10 MHz,0,0,0,-59.82,-59.82,186,1,218903,7.13,2,-75.75,-75.75,-4.09,22.4,218903,7.13,-75.38,-75.38,-0.03,-75.13,-0.03,21.12,1,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:55:58:150,38.903706,-77.007056,6,1,550,4,10 MHz,0,0,0,-59.82,-59.82,263,1,219020,7.13,0,-104.63,-104.63,-32.78,-17.11,219026,7.13,-83.57,-83.57,-8.1,-86.3,-11.22,-8.93,0,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:55:58:150,38.903706,-77.007056,6,1,175,5,15 MHz,0,0,0,-47.73,-47.73,331,1,218904,7.13,4,-79.03,-79.03,-12.56,26.91,218907,7.13,-80.07,-80.07,-0.07,-80.15,-0.06,18.03,2,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:57:35:170,38.903686,-77.006898,7,2,175,5,15 MHz,0,0,0,-52.43,-52.43,331,1,218890,7.12,2,-79.6,-79.6,-9.83,28.82,218889,7.12,-80.87,-80.87,-0.07,-80.76,-0.08,17.31,2,4,0,0,154,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,82680000,684C469016B001A5B80C9206A18880840C22A6C131FA1010096C610000000000,,
06/29/2026,15:57:35:170,38.903686,-77.006898,7,2,550,4,10 MHz,0,0,0,-62.22,-62.22,186,1,218889,7.12,2,-77.52,-77.52,-4.66,23.12,218887,7.12,-77.5,-77.5,-0.08,-77.33,-0.08,17.23,1,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:57:35:170,38.903686,-77.006898,7,2,550,4,10 MHz,0,0,0,-62.22,-62.22,263,1,219007,7.13,56,-108.71,-108.71,-35.66,-21.16,219021,7.13,-85.38,-85.38,-7.99,-88.73,-11.49,-8.89,0,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:57:35:170,38.903686,-77.006898,7,2,350,6,20 MHz,0,0,0,-63.8,-63.8,496,1,218887,7.12,6,-84.74,-84.74,-6.32,24.36,218887,7.12,-82.02,-82.02,-0.02,-82.39,-0.05,20.39,4,5,0,2,69,0,No,227951874,260,310,1,20438,1,0,False,,,4,,A9140000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9C7C0000,,
06/29/2026,15:59:24:392,38.903665,-77.006741,8,3,550,4,10 MHz,0,0,0,-61.92,-61.92,186,1,218875,7.12,2,-76.56,-76.56,-3.43,34.75,218875,7.12,-75.23,-75.23,-0.01,-75.2,-0.01,25.08,1,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:59:24:392,38.903665,-77.006741,8,3,175,5,15 MHz,0,0,0,-48.32,-48.32,331,1,218876,7.12,1,-82.23,-82.23,-13.5,27.86,218876,7.12,-78.69,-78.69,-0.03,-78.72,-0.03,21.08,2,4,0,0,154,0,No,,,,,,,,,,,,,,,,
06/29/2026,15:59:24:392,38.903665,-77.006741,8,3,350,6,20 MHz,0,0,0,-63.4,-63.4,496,1,218874,7.12,1,-84.23,-84.23,-6.78,28.95,218875,7.12,-82.9,-82.9,0,-83.01,-0.02,24.72,4,5,0,2,69,0,No,227951874,260,310,1,20438,1,0,False,,,4,,A9140000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9C7C0000,,
