Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Bandwidth,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,Cell Id,DSS,Ref Signal - Timeoffset,Ref Signal - Timeoffset (msec),Ref Signal - Delay Spread,Ref Signal - Received Power,Adjusted Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,Sync Signal - Timeoffset,Sync Signal - Timeoffset (msec),Primary Sync Channel Received Power,Adjusted Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,MIB,SIB1,SI,Frequency Offset
06/29/2026,15:56:39:303,38.903706,-77.007056,2,1,1125,5,15 MHz,0,0,0,-46.01,-46.01,331,1,218900,7.13,1,-77.69,-77.69,-11.84,18.05,218898,7.13,-73.36,-73.36,-0.01,-73.37,-0.01,24.68,2,4,0,0,115,0,No,27637774,480,311,1,27392,1,0,False,,1,2,,81CC0000,684C469016B001A5B80E9206A08880840C22A6492C6140000000000000000000,,
06/29/2026,15:56:39:303,38.903706,-77.007056,2,1,850,6,20 MHz,0,0,0,-55.9,-55.9,186,1,218896,7.13,4,-81.83,-81.83,-6,13.88,218894,7.12,-88.46,-88.46,-1.31,-88.48,-1.28,4.55,1,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:56:39:303,38.903706,-77.007056,2,1,850,6,20 MHz,0,0,0,-55.9,-55.9,263,1,219013,7.13,1,-97.43,-97.43,-21.51,-7.16,219011,7.13,-92.81,-92.81,-5.65,-93.89,-6.8,-5,4,5,0,2,102,0,No,166483722,410;100,310;313,1,4661,1,0,False,,,2,,A9980000,68CC42821989C402246B3D8AE1503EA08C01840C22610B360F860B0002A0300D8400000000000000,,
06/29/2026,15:58:15:928,38.903686,-77.006898,3,2,850,6,20 MHz,0,0,0,-60.51,-60.51,186,1,218885,7.12,0,-81.36,-81.36,-4.95,14.74,218886,7.12,-82.47,-82.47,-0.6,-82.92,-0.67,8.03,1,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:58:15:928,38.903686,-77.006898,3,2,850,6,20 MHz,0,0,0,-60.51,-60.51,263,1,218999,7.13,1,-98.46,-98.46,-21.88,-6.66,218883,7.12,-89.36,-89.36,-7.28,-91.71,-9.52,-7.54,4,5,0,2,102,0,No,,,,,,,,,,,,,,,,
06/29/2026,15:58:15:928,38.903686,-77.006898,3,2,1125,5,15 MHz,0,0,0,-56.62,-56.62,331,1,218888,7.12,2,-80.87,-80.87,-8.14,23.94,218886,7.12,-84.49,-84.49,-0.06,-84.31,-0.05,18.63,2,4,0,0,115,0,No,,,,,,,,,,,,,,,,
06/29/2026,16:00:04:469,38.903665,-77.006741,4,3,850,6,20 MHz,0,0,0,-53.61,-53.61,186,1,218869,7.12,0,-71.92,-71.92,-3.91,28.5,218870,7.12,-70.74,-70.74,0,-70.71,0,29.19,1,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,16:00:04:469,38.903665,-77.006741,4,3,1125,5,15 MHz,0,0,0,-48.22,-48.22,331,1,218872,7.12,1,-80.19,-80.19,-12.41,19.28,218872,7.12,-75.99,-75.99,-0.02,-75.99,-0.02,22.75,2,4,0,0,115,0,No,,,,,,,,,,,,,,,,
06/29/2026,16:01:19:195,38.903517,-77.005910,5,4,1125,5,15 MHz,0,0,0,-56.12,-56.12,331,1,218864,7.12,6,-83.68,-83.68,-8.53,31.69,218864,7.12,-80.94,-80.94,0,-80.97,0,28.05,2,4,0,0,115,0,No,,,,,,,,,,,,,,,,
06/29/2026,16:01:19:195,38.903517,-77.005910,5,4,850,6,20 MHz,0,0,0,-64.31,-64.31,186,1,218859,7.12,6,-84.39,-84.39,-4.17,29.8,218855,7.12,-96.26,-96.26,-0.27,-96.28,-0.34,11.31,1,5,0,2,108,13,Yes,168487805,410;100,310;313,1,4661,1,0,False,,,2,,A9B1A000,68CC42821989C402246B415D6FB02EA08801840C2260C0A0C03884B385000000,,
06/29/2026,16:03:03:143,38.903409,-77.005299,6,5,1125,5,15 MHz,0,0,0,-59.92,-59.92,331,1,218853,7.12,1,-89.76,-89.76,-9.56,19.67,218851,7.12,-82.77,-82.77,-0.02,-82.77,-0.02,21.96,2,4,0,0,115,0,No,,,,,,,,,,,,,,,,
