Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Bandwidth,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,Cell Id,DSS,Ref Signal - Timeoffset,Ref Signal - Timeoffset (msec),Ref Signal - Delay Spread,Ref Signal - Received Power,Adjusted Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,Sync Signal - Timeoffset,Sync Signal - Timeoffset (msec),Primary Sync Channel Received Power,Adjusted Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,MIB,SIB1,SI,Frequency Offset
06/29/2026,15:56:39:949,38.903706,-77.007056,2,1,2125,5,15 MHz,0,0,0,-56.43,-56.43,331,1,218901,7.13,4,-84.46,-84.46,-10.44,22.45,218899,7.13,-87.38,-87.38,-0.2,-86.86,-0.2,13.15,2,4,0,0,154,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,82680000,684C469016B001A5B80C9206A18880840C22A6C131FA1010096C610000000000,,
06/29/2026,15:58:16:944,38.903686,-77.006898,3,2,2125,5,15 MHz,0,0,0,-52.53,-52.53,331,1,218886,7.12,0,-84.3,-84.3,-12.59,23.83,218886,7.12,-80.12,-80.12,-0.01,-80.02,-0.01,24.37,2,4,0,0,154,0,No,,,,,,,,,,,,,,,,
06/29/2026,16:00:05:375,38.903665,-77.006741,4,3,2300,6,20 MHz,0,0,0,-63,-63,496,1,218869,7.12,5,-83.47,-83.47,-6.33,27.11,218867,7.12,-80.99,-80.99,0,-81,-0.01,25.16,4,5,0,2,69,0,No,227951874,260,310,1,20438,1,0,False,,,4,,A9140000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9C7C0000,,
06/29/2026,16:00:05:375,38.903665,-77.006741,4,3,2300,6,20 MHz,0,0,0,-63,-63,191,1,218869,7.12,0,-116.69,-116.69,-39.55,-19.34,218875,7.12,-92.57,-92.57,-11.58,-92.66,-11.67,-11.32,0,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,16:00:05:375,38.903665,-77.006741,4,3,2125,5,15 MHz,0,0,0,-48.62,-48.62,331,1,218870,7.12,1,-78.98,-78.98,-10.76,22.75,218870,7.12,-77.01,-77.01,-0.02,-76.87,-0.02,23.17,2,4,0,0,154,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,82680000,684C469016B001A5B80C9206A18880840C22A6C131FA1010096C610000000000,,
06/29/2026,16:01:20:212,38.903517,-77.005910,5,4,2125,5,15 MHz,0,0,0,-60.13,-60.13,331,1,218861,7.12,2,-88.53,-88.53,-10.66,26.02,218866,7.12,-85.43,-85.43,-0.01,-85.3,-0.01,23.56,2,4,0,0,154,0,No,,,,,,,,,,,,,,,,
06/29/2026,16:01:20:212,38.903517,-77.005910,5,4,2300,6,20 MHz,0,0,0,-73.6,-73.6,496,1,218859,7.12,4,-94.46,-94.46,-6.72,17.48,218861,7.12,-93.65,-93.65,-0.08,-93.87,-0.09,16.65,4,5,0,2,69,0,No,,,,,,,,,,,,,,,,
06/29/2026,16:01:20:212,38.903517,-77.005910,5,4,2300,6,20 MHz,0,0,0,-73.6,-73.6,191,1,218861,7.12,0,-126.76,-126.76,-39.01,-21.23,218855,7.12,-105.13,-105.13,-11.55,-105.69,-11.91,-11.42,0,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,16:03:03:735,38.903409,-77.005299,6,5,2125,5,15 MHz,0,0,0,-61.32,-61.32,331,1,218851,7.12,2,-91.34,-91.34,-11.35,21.6,218852,7.12,-90.72,-90.72,-0.13,-90.82,-0.1,15.63,2,4,0,0,154,0,No,,,,,,,,,,,,,,,,
06/29/2026,16:03:03:735,38.903409,-77.005299,6,5,2300,6,20 MHz,0,0,0,-65.3,-65.3,496,1,218848,7.12,4,-95.34,-95.34,-9.77,6.76,218848,7.12,-89.15,-89.15,-0.35,-90.36,-1,7.95,4,5,0,2,69,0,No,,,,,,,,,,,,,,,,
