Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Bandwidth,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,Cell Id,DSS,Ref Signal - Timeoffset,Ref Signal - Timeoffset (msec),Ref Signal - Delay Spread,Ref Signal - Received Power,Adjusted Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,Sync Signal - Timeoffset,Sync Signal - Timeoffset (msec),Primary Sync Channel Received Power,Adjusted Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,MIB,SIB1,SI,Frequency Offset
06/29/2026,15:56:43:727,38.903706,-77.007056,2,1,4325,5,15 MHz,0,0,0,-53.53,-53.53,331,1,218896,7.13,4,-84.87,-84.87,-11.55,23.54,218911,7.13,-96.6,-96.6,-0.47,-96.31,-1.1,6.87,2,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:56:43:727,38.903706,-77.007056,2,1,4700,4,10 MHz,0,0,0,-61.42,-61.42,186,1,218897,7.13,2,-77.28,-77.28,-3.6,20.87,218897,7.13,-77.94,-77.94,-0.06,-77.75,-0.06,18.28,1,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:56:43:727,38.903706,-77.007056,2,1,4700,4,10 MHz,0,0,0,-61.42,-61.42,263,1,219015,7.13,0,-105.54,-105.54,-31.62,-14.2,219025,7.13,-86.1,-86.1,-8.05,-89.17,-11.49,-8.99,0,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:58:24:079,38.903686,-77.006898,3,2,4325,5,15 MHz,0,0,0,-58.03,-58.03,331,1,218884,7.12,1,-83.81,-83.81,-8.69,28.34,218886,7.12,-81.38,-81.38,-0.01,-81.23,-0.01,24.77,2,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:58:24:079,38.903686,-77.006898,3,2,4700,4,10 MHz,0,0,0,-61.72,-61.72,186,1,218883,7.12,2,-85.45,-85.45,-7.4,17.77,218883,7.12,-85.22,-85.22,-0.1,-85.1,-0.08,16.4,1,3,0,2,157,0,No,168487903,410;100,310;313,1,4661,1,0,False,,,64,,6A740000,68CC42821989C402246B415D7BF02EBF8801840C2263C0F04C01308000000000,,
06/29/2026,15:58:24:079,38.903686,-77.006898,3,2,4700,4,10 MHz,0,0,0,-61.72,-61.72,263,1,218999,7.13,0,-112.18,-112.18,-34.09,-21.75,219021,7.13,-93.4,-93.4,-8.2,-96.57,-11.64,-9.14,0,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,16:00:06:909,38.903665,-77.006741,4,3,4700,4,10 MHz,0,0,0,-64.32,-64.32,186,1,218869,7.12,0,-78.23,-78.23,-3.49,29.86,218867,7.12,-77.67,-77.67,-0.02,-77.57,-0.03,21.61,1,3,0,2,157,0,No,,,,,,,,,,,,,,,,
06/29/2026,16:00:06:909,38.903665,-77.006741,4,3,4325,5,15 MHz,0,0,0,-46.42,-46.42,331,1,218870,7.12,1,-73.99,-73.99,-10.35,31,218871,7.12,-71.08,-71.08,-0.01,-71.1,-0.01,24.86,2,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,16:01:24:353,38.903517,-77.005910,5,4,4325,5,15 MHz,0,0,0,-60.63,-60.63,331,1,218864,7.12,4,-92.01,-92.01,-11.42,22.97,218864,7.12,-88.94,-88.94,-0.02,-88.86,-0.02,23.18,2,4,0,0,154,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,82680000,684C469016B001A5B80C9206A18880840C22A6C131FA1010096C610000000000,,
06/29/2026,16:01:24:353,38.903517,-77.005910,5,4,4700,4,10 MHz,0,0,0,-69.32,-69.32,186,1,218859,7.12,0,-84.27,-84.27,-4.69,28.14,218859,7.12,-82.55,-82.55,-0.01,-82.52,-0.01,25.49,1,3,0,2,157,0,No,,,,,,,,,,,,,,,,
