Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Bandwidth,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,Cell Id,DSS,Ref Signal - Timeoffset,Ref Signal - Timeoffset (msec),Ref Signal - Delay Spread,Ref Signal - Received Power,Adjusted Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,Sync Signal - Timeoffset,Sync Signal - Timeoffset (msec),Primary Sync Channel Received Power,Adjusted Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,MIB,SIB1,SI,Frequency Offset
06/29/2026,15:56:45:766,38.903706,-77.007056,2,1,5230,4,10 MHz,0,0,0,-56.04,-56.04,88,1,218907,7.13,26,-89.82,-89.82,-17.07,-4.43,218959,7.13,-87.96,-87.96,-6.54,-89.95,-7.27,-5.83,4,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:56:45:766,38.903706,-77.007056,2,1,5230,4,10 MHz,0,0,0,-56.04,-56.04,396,1,218915,7.13,21,-91.74,-91.74,-19,-6.72,218915,7.13,-88.07,-88.07,-6.65,-90.05,-7.36,-5.96,4,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:58:27:377,38.903686,-77.006898,3,2,5230,4,10 MHz,0,0,0,-65.44,-65.44,88,1,218901,7.13,26,-97.41,-97.41,-15.77,-2.3,218967,7.13,-98.56,-98.56,-6.31,-96.77,-5.57,-4.58,4,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:58:27:377,38.903686,-77.006898,3,2,5230,4,10 MHz,0,0,0,-65.44,-65.44,396,1,218903,7.13,8,-98.82,-98.82,-17.18,-5.61,218999,7.13,-97.04,-97.04,-4.79,-101.18,-9.98,-5.96,4,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,16:00:08:156,38.903665,-77.006741,4,3,5230,4,10 MHz,0,0,0,-69.23,-69.23,488,1,224606,7.31,2,-101.72,-101.72,-15.83,-4.74,224606,7.31,-93.6,-93.6,-1.62,-94.25,-1.81,3.15,2,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,16:00:08:156,38.903665,-77.006741,4,3,5230,4,10 MHz,0,0,0,-69.23,-69.23,396,1,218893,7.12,18,-105.34,-105.34,-19.06,-6.7,218883,7.12,-104.02,-104.02,-9.14,-99.73,-4.85,-5.38,4,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,16:00:08:156,38.903665,-77.006741,4,3,5230,4,10 MHz,0,0,0,-69.23,-69.23,88,1,218889,7.12,16,-107.63,-107.63,-21.35,-9.4,218905,7.13,-99.07,-99.07,-4.19,-104.99,-10.12,-5.03,4,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,16:01:27:865,38.903517,-77.005910,5,4,5230,4,10 MHz,0,0,0,-66.82,-66.82,396,1,218881,7.12,34,-100.33,-100.33,-16.35,-2.25,218865,7.12,-107.35,-107.35,-8.32,-106.72,-9.4,-8.34,4,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,16:01:27:865,38.903517,-77.005910,5,4,5230,4,10 MHz,0,0,0,-66.82,-66.82,88,1,218883,7.12,2,-108.98,-108.98,-24.99,-13.44,218877,7.12,-103.77,-103.77,-4.74,-106.48,-9.16,-5.81,4,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,16:01:27:865,38.903517,-77.005910,5,4,5230,4,10 MHz,0,0,0,-66.82,-66.82,488,1,224599,7.31,0,-114.8,-114.8,-31.28,-20.6,224603,7.31,-105.38,-105.38,-8.59,-107.39,-10.46,-8.88,2,3,0,0,181,0,No,266556618,480,311,1,27646,1,0,False,,1,13,,62D40000,684C469016BFEFE354CA9286A60881080181120300000000,,
06/29/2026,16:03:08:413,38.903409,-77.005299,6,5,5230,4,10 MHz,0,0,0,-59.02,-59.02,397,1,218863,7.12,32,-92.91,-92.91,-17.15,-3.13,218889,7.12,-89.72,-89.72,-6.72,-91.84,-7.33,-5.98,4,3,0,2,102,7,Yes,27458050,480,311,1,27396,1,0,False,,1,13,,6998E000,484C469016B041A2FA029181852020410308584502C68C1524A818030292C686,,
06/29/2026,16:03:08:413,38.903409,-77.005299,6,5,5230,4,10 MHz,0,0,0,-59.02,-59.02,396,1,218861,7.12,37,-95.11,-95.11,-19.37,-8.03,218861,7.12,-86.1,-86.1,-3.09,-87.77,-3.27,-0.31,4,,,,,,,,,,,,,,,,,,,,,,
