Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Bandwidth,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,Cell Id,DSS,Ref Signal - Timeoffset,Ref Signal - Timeoffset (msec),Ref Signal - Delay Spread,Ref Signal - Received Power,Adjusted Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,Sync Signal - Timeoffset,Sync Signal - Timeoffset (msec),Primary Sync Channel Received Power,Adjusted Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,MIB,SIB1,SI,Frequency Offset
06/29/2026,15:56:52:219,38.903706,-77.007056,2,1,8565,5,15 MHz,0,0,0,-54.71,-54.71,331,1,218898,7.13,1,-77.61,-77.61,-7.54,29.88,218896,7.13,-72.54,-72.54,0,-72.52,-0.01,26.41,2,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:56:52:219,38.903706,-77.007056,2,1,8290,6,20 MHz,0,0,0,-59.21,-59.21,186,1,218894,7.12,2,-79.2,-79.2,-4.62,17.25,218894,7.12,-82.59,-82.59,-0.43,-82.69,-0.41,9.85,1,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:56:52:219,38.903706,-77.007056,2,1,8290,6,20 MHz,0,0,0,-59.21,-59.21,263,1,219012,7.13,1,-98.67,-98.67,-23.89,-9.21,219012,7.13,-90.46,-90.46,-8.13,-92.74,-10.47,-8.59,4,5,0,2,102,0,No,166483722,410;100,310;313,1,4661,1,0,False,,,2,,A9980000,68CC42821989C402246B3D8AE1503EA08C01840C22610B360F860B0002A0300D8400000000000000,,
06/29/2026,15:56:52:219,38.903706,-77.007056,2,1,8440,4,10 MHz,0,0,0,-60.2,-60.2,23,1,218895,7.13,8,-79.1,-79.1,-6.56,21.08,218895,7.13,-86.39,-86.39,-0.27,-85.94,-0.24,12.12,2,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:56:52:219,38.903706,-77.007056,2,1,8440,4,10 MHz,0,0,0,-60.2,-60.2,255,1,218897,7.13,88,-104.53,-104.53,-31.92,-14.09,218893,7.12,-93.5,-93.5,-7.37,-97.42,-11.72,-8.56,4,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:58:34:387,38.903686,-77.006898,3,2,8565,5,15 MHz,0,0,0,-55.12,-55.12,331,1,218885,7.12,4,-80.36,-80.36,-8.28,31.4,218882,7.12,-82.66,-82.66,-0.01,-82.7,-0.01,25.91,2,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:58:34:387,38.903686,-77.006898,3,2,8290,6,20 MHz,0,0,0,-61.21,-61.21,186,1,218883,7.12,4,-80.8,-80.8,-3.55,29.97,218884,7.12,-84,-84,-0.06,-84.04,-0.06,18.35,1,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:58:34:387,38.903686,-77.006898,3,2,8290,6,20 MHz,0,0,0,-61.21,-61.21,263,1,218999,7.13,28,-113.13,-113.13,-35.66,-18.31,218997,7.13,-92.03,-92.03,-8.03,-94.97,-11.06,-8.76,4,5,0,2,102,0,No,,,,,,,,,,,,,,,,
06/29/2026,15:58:34:387,38.903686,-77.006898,3,2,8440,4,10 MHz,0,0,0,-65.2,-65.2,23,1,218883,7.12,5,-84.35,-84.35,-7.3,20.49,218883,7.12,-91.31,-91.31,-0.8,-92.42,-1.03,6.33,2,3,0,2,111,13,Yes,227951880,260,310,1,20438,1,0,False,,,2,,69BDA000,684C424C14FD6D964508823504402061130C1B6E050601C0259C280000000000,,
06/29/2026,15:58:34:387,38.903686,-77.006898,3,2,8440,4,10 MHz,0,0,0,-65.2,-65.2,255,1,218855,7.12,21,-111.87,-111.87,-34.77,-19.68,218879,7.12,-94.19,-94.19,-3.7,-98.8,-7.41,-3.35,4,,,,,,,,,,,,,,,,,,,,,,
