Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Bandwidth,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,Cell Id,DSS,Ref Signal - Timeoffset,Ref Signal - Timeoffset (msec),Ref Signal - Delay Spread,Ref Signal - Received Power,Adjusted Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,Sync Signal - Timeoffset,Sync Signal - Timeoffset (msec),Primary Sync Channel Received Power,Adjusted Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,MIB,SIB1,SI,Frequency Offset
06/29/2026,15:56:56:914,38.903706,-77.007056,2,1,9685,3,5 MHz,0,0,0,-70.11,-70.11,293,1,218918,7.13,29,-94.73,-94.73,-15.28,-0.23,218932,7.13,-93.29,-93.29,-9.54,-91.5,-8.14,-8.13,2,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:56:56:914,38.903706,-77.007056,2,1,9685,3,5 MHz,0,0,0,-70.11,-70.11,411,1,218902,7.13,10,-91.06,-91.06,-11.63,-0.28,218982,7.13,-87.2,-87.2,-3.44,-89.69,-6.34,-2.93,2,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:56:56:914,38.903706,-77.007056,2,1,9685,3,5 MHz,0,0,0,-70.11,-70.11,360,1,218982,7.13,5,-93.59,-93.59,-14.08,-2.91,218982,7.13,-87.3,-87.3,-3.47,-87.33,-3.89,-1.26,2,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:56:56:914,38.903706,-77.007056,2,1,9685,3,5 MHz,0,0,0,-70.11,-70.11,499,1,218954,7.13,21,-99.8,-99.8,-20.3,-5.9,218954,7.13,-93.38,-93.38,-9.56,-92.35,-8.96,-8.68,2,2,0,2,31,0,No,166469051,410;100,310;313,1,4661,0,0,False,,,29,,487C0000,68CC42821989C402246B3D83B7602EAE0801840C227B70800000000000000000,,
06/29/2026,15:58:40:546,38.903686,-77.006898,3,2,9685,3,5 MHz,0,0,0,-79.02,-79.02,411,1,218894,7.12,16,-104.47,-104.47,-13.51,-0.69,218914,7.13,-101.62,-101.62,-5.23,-102.09,-5.48,-3.85,2,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:58:40:546,38.903686,-77.006898,3,2,9685,3,5 MHz,0,0,0,-79.02,-79.02,499,1,218950,7.13,10,-114.23,-114.23,-23.26,-10.11,219002,7.13,-105.74,-105.74,-9.41,-107.22,-10.6,-9.48,2,2,0,2,31,0,No,,,,,,,,,,,,,,,,
06/29/2026,15:58:40:546,38.903686,-77.006898,3,2,9685,3,5 MHz,0,0,0,-79.02,-79.02,360,1,218966,7.13,13,-112.32,-112.32,-21.34,-10.89,218914,7.13,-101.67,-101.67,-5.32,-104.43,-7.67,-5.12,2,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:58:40:546,38.903686,-77.006898,3,2,9685,3,5 MHz,0,0,0,-79.02,-79.02,293,1,218902,7.13,0,-114.46,-114.46,-23.49,-12.21,218906,7.13,-103.37,-103.37,-6.99,-107.57,-10.95,-7.82,2,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,16:00:12:557,38.903665,-77.006741,4,3,9685,3,5 MHz,0,0,0,-80.82,-80.82,360,1,218958,7.13,10,-110.2,-110.2,-15.55,-1.27,218958,7.13,-103.89,-103.89,-2.28,-105.02,-3.48,0.32,2,2,0,2,239,0,No,166484410,410;100,310;313,1,4670,0,0,False,,,29,,4BBC0000,68CC42821989C402247D3D8B37403EAE0801840C226370800000000000000000,,
06/29/2026,16:00:12:557,38.903665,-77.006741,4,3,9685,3,5 MHz,0,0,0,-80.82,-80.82,411,1,218894,7.12,0,-118.05,-118.05,-23.39,-12.13,218958,7.13,-103.85,-103.85,-2.3,-108.78,-7.32,-2.03,2,2,0,2,199,0,No,167699134,410;100,310;313,1,4661,0,0,False,,,29,,4B1C0000,68CC42821989C402246B3FDC57C03EAE0C01840C22610BA38400000000000000,,
