Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Bandwidth,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,Cell Id,DSS,Ref Signal - Timeoffset,Ref Signal - Timeoffset (msec),Ref Signal - Delay Spread,Ref Signal - Received Power,Adjusted Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,Sync Signal - Timeoffset,Sync Signal - Timeoffset (msec),Primary Sync Channel Received Power,Adjusted Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,MIB,SIB1,SI,Frequency Offset
06/29/2026,15:56:57:042,38.903706,-77.007056,2,1,9820,4,10 MHz,0,0,0,-76.5,-76.5,403,1,218891,7.12,2,-113.46,-113.46,-18.64,-7,218939,7.13,-106,-106,-4.93,-108.06,-6.4,-4.14,4,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:56:57:042,38.903706,-77.007056,2,1,9820,4,10 MHz,0,0,0,-76.5,-76.5,263,1,219015,7.13,10,-117.52,-117.52,-22.69,-10.37,219013,7.13,-104.6,-104.6,-3.51,-105.14,-3.39,-0.85,4,3,0,2,214,0,No,166483863,410;100,310;313,1,4661,1,0,False,,,30,,6B580000,68CC42821989C402246B3D8AF2F04EAE8C01840C22610B8E0A92540601818400,,
06/29/2026,15:58:40:853,38.903686,-77.006898,3,2,9820,4,10 MHz,0,0,0,-95.3,-95.3,263,1,219005,7.13,13,-129.73,-129.73,-19.42,-7.66,218925,7.13,-123.73,-123.73,-6.38,-126.44,-9.45,-6.9,4,3,0,2,214,0,No,166483863,410;100,310;313,1,4661,1,0,False,,,30,,6B580000,68CC42821989C402246B3D8AF2F04EAE8C01840C22610B8E0A92540601818400,,
06/29/2026,15:58:40:853,38.903686,-77.006898,3,2,9820,4,10 MHz,0,0,0,-95.3,-95.3,411,1,218889,7.12,13,-132.08,-132.08,-21.76,-10.07,218929,7.13,-121.99,-121.99,-4.79,-122.55,-5.53,-3.57,4,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:58:40:853,38.903686,-77.006898,3,2,9820,4,10 MHz,0,0,0,-95.3,-95.3,403,1,218929,7.13,2,-133.78,-133.78,-23.42,-12.09,218927,7.13,-124.26,-124.26,-7.05,-124.16,-7.2,-6.19,4,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,16:00:12:689,38.903665,-77.006741,4,3,9820,4,10 MHz,0,0,0,-99.9,-99.9,263,1,218995,7.13,8,-129.98,-129.98,-16.55,-4.49,218991,7.13,-124.88,-124.88,-3.25,-124.14,-3.1,-0.32,4,3,0,2,214,0,No,166483863,410;100,310;313,1,4661,1,0,False,,,30,,6B580000,68CC42821989C402246B3D8AF2F04EAE8C01840C22610B8E0A92540601818400,,
06/29/2026,16:00:12:689,38.903665,-77.006741,4,3,9820,4,10 MHz,0,0,0,-99.9,-99.9,411,1,218899,7.13,16,-143.42,-143.42,-29.38,-18.61,218699,7.12,-130.38,-130.38,-8.81,-130.65,-9.45,-8.56,4,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,16:01:39:962,38.903517,-77.005910,5,4,9820,4,10 MHz,0,0,0,-99.1,-99.1,263,1,218981,7.13,5,-130.67,-130.67,-17.58,-5.74,218985,7.13,-126.47,-126.47,-5.09,-125.84,-4.9,-3.33,4,3,0,2,214,0,No,166483863,410;100,310;313,1,4661,1,0,False,,,30,,6B580000,68CC42821989C402246B3D8AF2F04EAE8C01840C22610B8E0A92540601818400,,
06/29/2026,16:01:39:962,38.903517,-77.005910,5,4,9820,4,10 MHz,0,0,0,-99.1,-99.1,411,1,218879,7.12,0,-141.47,-141.47,-27.99,-16.68,218875,7.12,-126.42,-126.42,-5.19,-129.28,-8.25,-5.39,4,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,16:01:39:962,38.903517,-77.005910,5,4,9820,4,10 MHz,0,0,0,-99.1,-99.1,403,1,218911,7.13,0,-142.74,-142.74,-29.12,-18.21,218941,7.13,-131.05,-131.05,-9.8,-129.85,-8.86,-8.75,4,,,,,,,,,,,,,,,,,,,,,,
