Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Bandwidth,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,Cell Id,DSS,Ref Signal - Timeoffset,Ref Signal - Timeoffset (msec),Ref Signal - Delay Spread,Ref Signal - Received Power,Adjusted Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,Sync Signal - Timeoffset,Sync Signal - Timeoffset (msec),Primary Sync Channel Received Power,Adjusted Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,MIB,SIB1,SI,Frequency Offset
06/29/2026,15:56:58:681,38.903706,-77.007056,2,1,65711,5,15 MHz,0,0,0,-52.23,-52.23,331,1,218894,7.12,2,-84.82,-84.82,-12.73,23.85,218904,7.13,-98.64,-98.64,-0.72,-101.14,-2.74,3.62,2,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:56:58:681,38.903706,-77.007056,2,1,65886,6,20 MHz,0,0,0,-66.8,-66.8,496,1,218894,7.12,2,-86.97,-86.97,-6.67,19.33,218895,7.13,-93.26,-93.26,-0.49,-94.44,-0.92,7.64,4,5,0,2,69,0,No,227951874,260,310,1,20438,1,0,False,,,4,,A9140000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9C7C0000,,
06/29/2026,15:56:58:681,38.903706,-77.007056,2,1,66086,4,10 MHz,0,0,0,-48.52,-48.52,186,1,218893,7.12,2,-74.09,-74.09,-8.46,21.26,218893,7.12,-73.93,-73.93,-0.04,-73.68,-0.04,20.02,1,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:58:42:818,38.903686,-77.006898,3,2,66086,4,10 MHz,0,0,0,-59.92,-59.92,186,1,218881,7.12,0,-84.25,-84.25,-7.57,23.71,218881,7.12,-82.8,-82.8,-0.03,-82.81,-0.03,21.05,1,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:58:42:818,38.903686,-77.006898,3,2,65711,5,15 MHz,0,0,0,-64.93,-64.93,331,1,218883,7.12,4,-95.85,-95.85,-11.52,18.42,218884,7.12,-95.01,-95.01,-0.14,-95.25,-0.2,13.78,2,4,0,0,154,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,82680000,684C469016B001A5B80C9206A18880840C22A6C131FA1010096C610000000000,,
06/29/2026,15:58:42:818,38.903686,-77.006898,3,2,65886,6,20 MHz,0,0,0,-53.7,-53.7,496,1,218880,7.12,1,-85.49,-85.49,-10.37,26.77,218880,7.12,-84.02,-84.02,-0.01,-83.82,-0.03,22.31,4,5,0,2,69,0,No,,,,,,,,,,,,,,,,
06/29/2026,16:00:13:826,38.903665,-77.006741,4,3,65711,5,15 MHz,0,0,0,-45.33,-45.33,331,1,218870,7.12,0,-76.01,-76.01,-9.85,29,218871,7.12,-73.49,-73.49,0,-73.4,0,26.79,2,4,0,0,154,0,No,,,,,,,,,,,,,,,,
06/29/2026,16:00:13:826,38.903665,-77.006741,4,3,66086,4,10 MHz,0,0,0,-59.22,-59.22,186,1,218867,7.12,2,-73.61,-73.61,-3.67,33.5,218867,7.12,-72.92,-72.92,0,-72.91,0,27.07,1,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,16:00:13:826,38.903665,-77.006741,4,3,65886,6,20 MHz,0,0,0,-58.9,-58.9,496,1,218867,7.12,2,-79.31,-79.31,-6.33,30.52,218868,7.12,-84.49,-84.49,-0.02,-84.46,-0.02,22.83,4,5,0,2,69,0,No,227951874,260,310,1,20438,1,0,False,,,4,,A9140000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9C7C0000,,
06/29/2026,16:01:41:275,38.903517,-77.005910,5,4,66086,4,10 MHz,0,0,0,-66.52,-66.52,186,1,218859,7.12,0,-81.5,-81.5,-3.78,30.55,218859,7.12,-79.02,-79.02,0,-79.08,0,27.13,1,3,0,2,157,0,No,168487903,410;100,310;313,1,4661,1,0,False,,,64,,6A740000,68CC42821989C402246B415D7BF02EBF8801840C2263C0F04C01308000000000,,
06/29/2026,16:01:41:275,38.903517,-77.005910,5,4,65886,6,20 MHz,0,0,0,-72.8,-72.8,496,1,218856,7.12,6,-93.87,-93.87,-6.52,18.78,218851,7.12,-95.19,-95.19,-0.08,-95.54,-0.14,15.69,4,5,0,2,69,0,No,227951874,260,310,1,20438,1,0,False,,,4,,A9140000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9C7C0000,,
06/29/2026,16:01:41:275,38.903517,-77.005910,5,4,65886,6,20 MHz,0,0,0,-72.8,-72.8,191,1,218858,7.12,26,-120.27,-120.27,-32.91,-13.54,218851,7.12,-106.26,-106.26,-11.13,-107.31,-11.9,-11.17,0,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,16:01:41:275,38.903517,-77.005910,5,4,65711,5,15 MHz,0,0,0,-59.22,-59.22,331,1,218858,7.12,4,-88.3,-88.3,-11.5,28.46,218860,7.12,-83.31,-83.31,0,-83.24,-0.01,26.37,2,4,0,0,154,0,No,,,,,,,,,,,,,,,,
06/29/2026,16:03:18:468,38.903409,-77.005299,6,5,65711,5,15 MHz,0,0,0,-63.91,-63.91,331,1,218848,7.12,4,-92.49,-92.49,-9.86,23.6,218850,7.12,-89.17,-89.17,-0.08,-88.95,-0.09,16.98,2,4,0,0,154,0,No,,,,,,,,,,,,,,,,
06/29/2026,16:03:18:468,38.903409,-77.005299,6,5,66086,4,10 MHz,0,0,0,-68.01,-68.01,186,1,218849,7.12,2,-83,-83,-3.69,29.03,218845,7.12,-81.53,-81.53,-0.01,-81.4,-0.01,25.67,1,3,0,2,157,0,No,,,,,,,,,,,,,,,,
06/29/2026,16:03:18:468,38.903409,-77.005299,6,5,65886,6,20 MHz,0,0,0,-69.5,-69.5,496,1,218847,7.12,4,-94.91,-94.91,-8.75,6.31,218852,7.12,-91.21,-91.21,-0.59,-91.02,-0.8,7.52,4,5,0,2,69,0,No,227951874,260,310,1,20438,1,0,False,,,4,,A9140000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9C7C0000,,
06/29/2026,16:03:18:468,38.903409,-77.005299,6,5,65886,6,20 MHz,0,0,0,-69.5,-69.5,194,1,218835,7.12,5,-101.52,-101.52,-15.36,2.88,218828,7.12,-99.15,-99.15,-8.53,-100.41,-10.2,-8.78,4,5,0,2,96,0,No,33510402,260,310,1,20438,1,0,False,,,4,,A9800000,684C424C14FD61FF540282350C6020610B089860DAB05CFE4A30100E016CE880,,
