Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Bandwidth,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,Cell Id,DSS,Ref Signal - Timeoffset,Ref Signal - Timeoffset (msec),Ref Signal - Delay Spread,Ref Signal - Received Power,Adjusted Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,Sync Signal - Timeoffset,Sync Signal - Timeoffset (msec),Primary Sync Channel Received Power,Adjusted Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,MIB,SIB1,SI,Frequency Offset
06/29/2026,15:56:59:441,38.903706,-77.007056,2,1,66986,4,10 MHz,0,0,0,-60.12,-60.12,186,1,218895,7.13,0,-75.55,-75.55,-3.6,22.7,218895,7.13,-75.43,-75.43,-0.04,-75.21,-0.04,20.19,1,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:56:59:441,38.903706,-77.007056,2,1,66986,4,10 MHz,0,0,0,-60.12,-60.12,263,1,219013,7.13,0,-103.55,-103.55,-31.36,-14.22,219023,7.13,-83.67,-83.67,-8.11,-86.43,-11.25,-8.95,0,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:56:59:441,38.903706,-77.007056,2,1,66611,5,15 MHz,0,0,0,-49.03,-49.03,331,1,218894,7.12,2,-82.26,-82.26,-13.22,25.4,218897,7.13,-82.51,-82.51,-0.09,-82.4,-0.09,16.58,2,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:58:43:648,38.903686,-77.006898,3,2,66986,4,10 MHz,0,0,0,-68.22,-68.22,186,1,218879,7.12,0,-83.36,-83.36,-4.23,26.45,218879,7.12,-81.77,-81.77,-0.01,-81.8,-0.01,23.53,1,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,15:58:43:648,38.903686,-77.006898,3,2,66611,5,15 MHz,0,0,0,-65.63,-65.63,331,1,218882,7.12,2,-95.51,-95.51,-11.13,19.02,218884,7.12,-91.83,-91.83,-0.06,-91.99,-0.05,18.52,2,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,16:00:14:643,38.903665,-77.006741,4,3,66986,4,10 MHz,0,0,0,-60.72,-60.72,186,1,218869,7.12,2,-75.92,-75.92,-3.61,33.01,218867,7.12,-74.23,-74.23,0,-74.21,0,27.65,1,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,16:00:14:643,38.903665,-77.006741,4,3,66611,5,15 MHz,0,0,0,-45.83,-45.83,331,1,218869,7.12,2,-77.79,-77.79,-12.06,29.75,218871,7.12,-76.85,-76.85,-0.01,-76.74,-0.01,25.3,2,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,16:01:42:076,38.903517,-77.005910,5,4,66986,4,10 MHz,0,0,0,-71.71,-71.71,186,1,218859,7.12,0,-86.58,-86.58,-4.42,28.57,218859,7.12,-84.04,-84.04,-0.01,-84.1,-0.01,24.57,1,3,0,2,157,0,No,168487903,410;100,310;313,1,4661,1,0,False,,,64,,6A740000,68CC42821989C402246B415D7BF02EBF8801840C2263C0F04C01308000000000,,
06/29/2026,16:01:42:076,38.903517,-77.005910,5,4,66611,5,15 MHz,0,0,0,-63.62,-63.62,331,1,218862,7.12,4,-91.26,-91.26,-9.63,27.41,218862,7.12,-88.77,-88.77,0,-88.9,-0.01,26.2,2,4,0,0,154,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,82680000,684C469016B001A5B80C9206A18880840C22A6C131FA1010096C610000000000,,
06/29/2026,16:03:19:693,38.903409,-77.005299,6,5,66786,6,20 MHz,0,0,0,-69.3,-69.3,496,1,218846,7.12,4,-93.58,-93.58,-8.56,7.21,218848,7.12,-90.18,-90.18,-0.31,-89.62,-0.73,8.78,4,5,0,2,69,0,No,227951874,260,310,1,20438,1,0,False,,,4,,A9140000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9C7C0000,,
