Date,Time,Latitude,Longitude,Cell ID,Carrier RSSI Antenna Port 0,Carrier RSSI Antenna Port 1,Carrier RSSI Antenna Port 2,Carrier RSSI Antenna Port 3,DwPTS Symbol,UL/DL Config,Sync Signal - Timeoffset,Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,Ref Signal - Timeoffset,Ref Signal - Delay Spread,Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,PBCH-Received Power,PBCH-Received Quality,PBCH-CINR,PBCH-Block Error Rate,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,Loop Count,Absolute Time Stamp Date,Absolute Time Stamp Time,NID,Adjusted Ref Signal - Received Power,Antenna Gain,Cable Loss,MIB,SIB1,SI,Rank,Adjusted Ref Signal - Guard Period Power,Special Subframe Config,DwPTS,GP,UpPTS,Channel Style,Bandwidth,DSS,Frequency Offset,PCI Count,Status
06/29/2026,15:56:57:200,38.903706,-77.007056,186,-61.22,,,,,,218895,-77.78,-0.1,-77.55,-0.1,16.13,218895,2,-77.15,-3.9,19.09,-77.31,-0.05,19.08,0,,3,0,2,39,0,No,168487903,410;100,310;313,1,4661,1,0,False,,,64,,2,,,62;0,-77.15,0,0,689C0000,68CC42821989C402246B415D7BF02EBF8801840C2263C0F04C01308000000000,,,,,,,,4,10 MHz,1,,1,11
06/29/2026,15:58:41:000,38.903686,-77.006898,186,-67.82,,,,,,218879,-81.72,-0.02,-81.71,-0.02,22.19,218881,5,-82.96,-4.11,24.52,-81.56,-0.01,24.82,0,,3,0,2,74,0,No,168487903,410;100,310;313,1,4661,1,0,False,,,64,,3,,,62;0,-82.96,0,0,69280000,68CC42821989C402246B415D7BF02EBF8801840C2263C0F04C01308000000000,,,,,,,,4,10 MHz,1,,1,11
06/29/2026,16:00:12:849,38.903665,-77.006741,186,-62.72,,,,,,218867,-80.14,-0.06,-80,-0.06,18.08,218867,8,-77.7,-3.92,28.14,-79.86,-0.01,26.29,0,,3,0,2,66,0,No,168487903,410;100,310;313,1,4661,1,0,False,,,64,,4,,,62;0,-77.7,0,0,69080000,68CC42821989C402246B415D7BF02EBF8801840C2263C0F04C01308000000000,,,,,,,,4,10 MHz,1,,1,11
06/29/2026,16:01:40:100,38.903517,-77.005910,186,-65.92,,,,,,218859,-79.1,0,-79.14,0,27.22,218859,0,-81.17,-3.8,27.79,-79.12,0,28.16,0,,3,0,2,199,0,No,168487903,410;100,310;313,1,4661,1,0,False,,,64,,5,,,62;0,-81.17,0,0,6B1C0000,68CC42821989C402246B415D7BF02EBF8801840C2263C0F04C01308000000000,,,,,,,,4,10 MHz,1,,1,11
06/29/2026,16:03:17:201,38.903409,-77.005299,186,-67.32,,,,,,218847,-81.02,-0.01,-80.95,-0.01,25.78,218847,0,-82.41,-3.69,26.04,-81.08,-0.01,25.57,0,,3,0,2,67,0,No,168487903,410;100,310;313,1,4661,1,0,False,,,64,,6,,,62;0,-82.41,0,0,690C0000,68CC42821989C402246B415D7BF02EBF8801840C2263C0F04C01308000000000,,,,,,,,4,10 MHz,1,,1,11
06/29/2026,16:04:58:728,38.903453,-77.005670,186,-67.22,,,,,,218831,-84.24,-0.03,-84.09,-0.03,20.9,218833,2,-82.32,-3.52,27.79,-83.98,-0.01,26.08,0,,3,0,2,45,0,No,168487903,410;100,310;313,1,4661,1,0,False,,,64,,7,,,62;0,-82.32,0,0,68B40000,68CC42821989C402246B415D7BF02EBF8801840C2263C0F04C01308000000000,,,,,,,,4,10 MHz,1,,1,11
06/29/2026,16:06:25:780,38.903508,-77.005975,186,-69.61,,,,,,218821,-92.18,-0.07,-91.96,-0.07,17.5,218821,8,-92.51,-6.35,23.43,-91.74,-0.01,24.02,0,,3,0,2,173,0,No,168487903,410;100,310;313,1,4661,1,0,False,,,64,,8,,,62;0,-92.51,0,0,6AB40000,68CC42821989C402246B415D7BF02EBF8801840C2263C0F04C01308000000000,,,,,,,,4,10 MHz,1,,1,11
06/29/2026,16:07:47:499,38.903495,-77.006025,186,-71.31,,,,,,218807,-95.77,-0.74,-95.1,-0.61,7.71,218813,5,-86.34,-4.36,26.88,-94.2,-0.04,19.5,0,,3,0,2,168,0,No,168487903,410;100,310;313,1,4661,1,0,False,,,64,,9,,,62;0,-86.34,0,0,6AA00000,68CC42821989C402246B415D7BF02EBF8801840C2263C0F04C01308000000000,,,,,,,,4,10 MHz,1,,1,11
06/29/2026,16:09:16:395,38.903482,-77.006075,186,-66.81,,,,,,218791,-89.32,-0.44,-89.7,-0.51,9.36,218799,10,-82.72,-3.76,27.11,-88.7,-0.02,22.47,0,,3,0,2,86,0,No,168487903,410;100,310;313,1,4661,1,0,False,,,64,,10,,,62;0,-82.72,0,0,69580000,68CC42821989C402246B415D7BF02EBF8801840C2263C0F04C01308000000000,,,,,,,,4,10 MHz,1,,1,11
06/29/2026,16:10:37:993,38.903450,-77.006161,186,-62.21,,,,,,218795,-76.57,0,-76.56,0,27.55,218795,0,-77.08,-3.92,31.65,-76.48,0,31.51,0,,3,0,2,78,0,No,168487903,410;100,310;313,1,4661,1,0,False,,,64,,11,,,62;0,-77.08,0,0,69380000,68CC42821989C402246B415D7BF02EBF8801840C2263C0F04C01308000000000,,,,,,,,4,10 MHz,1,,1,11
