Date,Time,Latitude,Longitude,Cell ID,Carrier RSSI Antenna Port 0,Carrier RSSI Antenna Port 1,Carrier RSSI Antenna Port 2,Carrier RSSI Antenna Port 3,DwPTS Symbol,UL/DL Config,Sync Signal - Timeoffset,Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,Ref Signal - Timeoffset,Ref Signal - Delay Spread,Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,PBCH-Received Power,PBCH-Received Quality,PBCH-CINR,PBCH-Block Error Rate,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,Loop Count,Absolute Time Stamp Date,Absolute Time Stamp Time,NID,Adjusted Ref Signal - Received Power,Antenna Gain,Cable Loss,MIB,SIB1,SI,Rank,Adjusted Ref Signal - Guard Period Power,Special Subframe Config,DwPTS,GP,UpPTS,Channel Style,Bandwidth,DSS,Frequency Offset
06/29/2026,15:56:57:333,38.903706,-77.007056,331,-44.92,,,,,,218894,-77.4,-0.01,-77.19,-0.02,22.57,218896,5,-79.53,-13.63,19.1,-80.92,-0.06,18.2,0,,4,0,0,42,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,2,,,110;1,-79.53,0,0,80A80000,684C469016B001A5B80C9206A18880840C22A6C131FA1010096C63E000000000,,,,,,,,5,15 MHz,1,
06/29/2026,15:58:41:192,38.903686,-77.006898,331,-69.32,,,,,,218886,-89.93,-0.01,-89.82,-0.01,25.01,218882,9,-96.48,-9.88,19.71,-92.2,-0.02,21.85,0,,4,0,0,78,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,3,,,110;1,-96.48,0,0,81380000,684C469016B001A5B80C9206A18880840C22A6C131FA1010096C652000000000,,,,,,,,5,15 MHz,1,
06/29/2026,16:00:12:986,38.903665,-77.006741,331,-55.12,,,,,,218870,-77.62,0,-77.57,0,27.88,218870,2,-81.58,-8.61,24.84,-81.45,-0.01,24.06,0,,4,0,0,69,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,4,,,110;1,-81.58,0,0,81140000,684C469016B001A5B80C9206A18880840C22A6C131FA1010096C664000000000,,,,,,,,5,15 MHz,1,
06/29/2026,16:01:40:241,38.903517,-77.005910,331,-61.02,,,,,,218862,-85.85,-0.01,-85.76,-0.01,25.83,218860,4,-90.19,-10.7,21.55,-89.59,-0.03,21.11,0,,4,0,0,202,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,5,,,110;1,-90.19,0,0,83280000,684C469016B001A5B80C9206A18880840C22A6C131FA1010096C674000000000,,,,,,,,5,15 MHz,1,
06/29/2026,16:03:17:336,38.903409,-77.005299,331,-60.52,,,,,,218850,-88.31,-0.07,-88.21,-0.11,16.74,218849,9,-92.36,-11.44,18.5,-92.3,-0.06,18.19,0,,4,0,0,70,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,6,,,110;1,-92.36,0,0,81180000,684C469016B001A5B80C9206A18880840C22A6C131FA1010096C688000000000,,,,,,,,5,15 MHz,1,
06/29/2026,16:04:58:864,38.903453,-77.005670,331,-54.62,,,,,,218836,-76.55,0,-76.57,-0.01,26.3,218835,1,-80.22,-9.82,21.27,-78.88,-0.02,22.37,0,,4,0,0,48,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,7,,,110;1,-80.22,0,0,80C00000,684C469016B001A5B80C9206A18880840C22A6C131FA1010096C69C000000000,,,,,,,,5,15 MHz,1,
06/29/2026,16:06:25:920,38.903508,-77.005975,331,-69.02,,,,,,218827,-98.36,-0.18,-98.38,-0.21,13.26,218825,8,-94.79,-10.53,20.8,-102.18,-0.1,15.95,0,,4,0,0,176,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,8,,,110;1,-94.79,0,0,82C00000,684C469016B001A5B80C9206A18880840C22A6C131FA1010096C6AC000000000,,,,,,,,5,15 MHz,1,
06/29/2026,16:07:47:637,38.903495,-77.006025,331,-60.32,,,,,,218815,-80.68,-0.01,-80.64,-0.01,25.2,218815,5,-86.63,-8.38,24.52,-84.61,-0.01,24.34,0,,4,0,0,171,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,9,,,110;1,-86.63,0,0,82AC0000,684C469016B001A5B80C9206A18880840C22A6C131FA1010096C6BC000000000,,,,,,,,5,15 MHz,1,
06/29/2026,16:09:16:534,38.903482,-77.006075,331,-58.32,,,,,,218804,-86.78,-0.04,-86.75,-0.04,20.09,218802,6,-89.97,-12.26,18.09,-90.64,-0.06,18.26,0,,4,0,0,90,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,10,,,110;1,-89.97,0,0,81680000,684C469016B001A5B80C9206A18880840C22A6C131FA1010096C6CE000000000,,,,,,,,5,15 MHz,1,
06/29/2026,16:10:38:111,38.903450,-77.006161,331,-53.72,,,,,,218796,-77.92,0,-77.73,0,26.95,218796,0,-80.13,-8.78,24.61,-80,-0.02,23.3,0,,4,0,0,81,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,11,,,110;1,-80.13,0,0,81440000,684C469016B001A5B80C9206A18880840C22A6C131FA1010096C6DE000000000,,,,,,,,5,15 MHz,1,
06/29/2026,16:12:14:478,38.903344,-77.005557,331,-54.72,,,,,,218780,-87.65,-0.11,-87.48,-0.1,15.83,218783,6,-88.03,-13.26,16.29,-90.08,-0.14,14.73,0,,4,0,0,186,0,No,27637772,480,311,1,27392,1,0,False,,1,4,,12,,,110;1,-88.03,0,0,82E80000,684C469016B001A5B80C9206A18880840C22A6C131FA1010096C6F0000000000,,,,,,,,5,15 MHz,1,
