Date,Time,Latitude,Longitude,Cell ID,Carrier RSSI Antenna Port 0,Carrier RSSI Antenna Port 1,Carrier RSSI Antenna Port 2,Carrier RSSI Antenna Port 3,DwPTS Symbol,UL/DL Config,Sync Signal - Timeoffset,Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,Ref Signal - Timeoffset,Ref Signal - Delay Spread,Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,PBCH-Received Power,PBCH-Received Quality,PBCH-CINR,PBCH-Block Error Rate,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,Loop Count,Absolute Time Stamp Date,Absolute Time Stamp Time,NID,Adjusted Ref Signal - Received Power,Antenna Gain,Cable Loss,MIB,SIB1,SI,Rank,Adjusted Ref Signal - Guard Period Power,Special Subframe Config,DwPTS,GP,UpPTS,Channel Style,Bandwidth,DSS,Frequency Offset,PCI Count,Status
06/29/2026,15:56:57:544,38.903706,-77.007056,496,-63.5,,,,,,218895,-90.01,-0.31,-90.2,-0.39,10.71,218894,2,-84.48,-6.87,22.47,-91.39,-0.1,16.03,0,,5,0,2,47,0,No,227951874,260,310,1,20438,1,0,False,,,4,,2,,,165;1,-84.48,0,0,A8BC0000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9C7C0000,,,,,,,,6,20 MHz,1,,1,11
06/29/2026,15:58:41:473,38.903686,-77.006898,496,-64,,,,,,218878,-86.25,-0.01,-86.23,-0.05,20.82,218881,2,-84.61,-6.23,29.04,-87.57,-0.02,22.7,0,,5,0,2,85,0,No,227951874,260,310,1,20438,1,0,False,,,4,,3,,,165;1,-84.61,0,0,A9540000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9CA40000,,,,,,,,6,20 MHz,1,,1,11
06/29/2026,16:00:13:217,38.903665,-77.006741,496,-63.3,,,,,,218867,-84.04,0,-83.95,-0.01,25.51,218867,2,-83.9,-6.53,27.14,-88.09,-0.01,23.53,0,,5,0,2,75,0,No,227951874,260,310,1,20438,1,0,False,,,4,,4,,,165;1,-83.9,0,0,A92C0000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9CC80000,,,,,,,,6,20 MHz,1,,1,11
06/29/2026,16:01:40:410,38.903517,-77.005910,496,-59.1,,,,,,218859,-91.54,-0.03,-91.27,-0.08,18.47,218857,6,-91.98,-11.13,19.25,-95.31,-0.13,15.12,0,,5,0,2,207,0,No,227951874,260,310,1,20438,1,0,False,,,4,,5,,,165;1,-91.98,0,0,AB3C0000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9CE80000,,,,,,,,6,20 MHz,1,,1,11
06/29/2026,16:03:17:570,38.903409,-77.005299,496,-67.1,,,,,,218847,-91.19,-0.64,-90.98,-1,6.74,218847,5,-93.23,-8.93,7.73,-94.9,-0.9,6.34,0,,5,0,2,76,0,No,227951874,260,310,1,20438,1,0,False,,,4,,6,,,165;1,-93.23,0,0,A9300000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9D100000,,,,,,,,6,20 MHz,1,,1,11
06/29/2026,16:04:59:068,38.903453,-77.005670,496,-61.3,,,,,,218807,-86.34,-0.08,-86.3,-0.21,14.55,218833,9,-86.86,-6.45,19.54,-88.03,-0.14,14.76,0,,5,0,2,52,0,No,227951874,260,310,1,20438,1,0,False,,,4,,7,,,165;1,-86.86,0,0,A8D00000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9D380000,,,,,,,,6,20 MHz,1,,1,11
06/29/2026,16:06:26:147,38.903508,-77.005975,496,-66.1,,,,,,218823,-96.64,-0.1,-96.59,-0.17,14.76,218822,2,-95.04,-7.68,20.01,-97.91,-0.15,14.41,0,,5,0,2,181,0,No,227951874,260,310,1,20438,1,0,False,,,4,,8,,,165;1,-95.04,0,0,AAD40000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9D580000,,,,,,,,6,20 MHz,1,,2,11
06/29/2026,16:07:47:837,38.903495,-77.006025,496,-66.8,,,,,,218812,-89.15,-0.05,-89.11,-0.07,18.12,218812,2,-87.39,-6.65,25.78,-90.78,-0.02,21.77,0,,5,0,2,176,0,No,227951874,260,310,1,20438,1,0,False,,,4,,9,,,165;1,-87.39,0,0,AAC00000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9D780000,,,,,,,,6,20 MHz,1,,2,11
06/29/2026,16:09:16:774,38.903482,-77.006075,496,-60.2,,,,,,218794,-91.37,-0.05,-91.44,-0.11,17.07,218798,8,-86.97,-7.18,24.91,-92.21,-0.07,17.82,0,,5,0,2,95,0,No,227951874,260,310,1,20438,1,0,False,,,4,,10,,,165;1,-86.97,0,0,A97C0000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9D9C0000,,,,,,,,6,20 MHz,1,,2,11
06/29/2026,16:10:38:303,38.903450,-77.006161,496,-67.3,,,,,,218794,-88.35,-0.06,-88.46,-0.13,16.28,218793,1,-88.39,-6.73,20.4,-92.65,-0.08,16.97,0,,5,0,2,85,0,No,227951874,260,310,1,20438,1,0,False,,,4,,11,,,165;1,-88.39,0,0,A9540000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9DBC0000,,,,,,,,6,20 MHz,1,,1,11
06/29/2026,16:12:14:721,38.903344,-77.005557,496,-60.6,,,,,,218759,-85.75,-0.31,-87.58,-1.74,6.15,218781,2,-82.99,-7.51,7.12,-88.78,-1.5,3.82,0,,5,0,2,191,0,No,227951874,260,310,1,20438,1,0,False,,,4,,12,,,165;1,-82.99,0,0,AAFC0000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9DE00000,,,,,,,,6,20 MHz,1,,1,11
06/29/2026,16:13:50:188,38.903436,-77.006189,496,-77.6,,,,,,218778,-102.28,-0.55,-103.05,-1.19,6.59,218770,10,-99.41,-8.08,12.09,-108.01,-1.5,3.84,0,,5,0,2,18,0,No,227951874,260,310,1,20438,1,0,False,,,4,,13,,,165;1,-99.41,0,0,A8480000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9E080000,,,,,,,,6,20 MHz,1,,2,11
06/29/2026,16:15:26:980,38.903411,-77.006283,496,-62.6,,,,,,218730,-91.77,-1.21,-97.62,-7.11,-0.46,218758,14,-93.24,-11,0.82,-103.39,-8.79,-8.18,0.3813906,,5,0,2,134,0,No,227951874,260,310,1,20438,1,0,False,,,4,,14,,,165;1,-93.24,0,0,AA180000,684C424C14FD6D96450282350C402061130C1B5E0B9FC9460201C02D9E2C0000,,,,,,,,6,20 MHz,1,,2,11
