Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Bandwidth,Block Status,Antenna Gain,Cable Loss,Channel RSSI,Adjusted Channel RSSI,Cell Id,DSS,Ref Signal - Timeoffset,Ref Signal - Timeoffset (msec),Ref Signal - Delay Spread,Ref Signal - Received Power,Adjusted Ref Signal - Received Power,Ref Signal - Received Quality,Ref Signal - CINR,Sync Signal - Timeoffset,Sync Signal - Timeoffset (msec),Primary Sync Channel Received Power,Adjusted Primary Sync Channel Received Power,Primary Sync Channel Received Quality,Secondary Sync Channel Received Power,Secondary Sync Channel Received Quality,Sync Channel - CINR,MIB Decoded Number Of Antenna Ports,dl-Bandwidth,phich-Duration,phich-Resource,systemFrameNumber,schedulingInfo,LTE-M,cellIdentity,mnc,mcc,cellReservedForOperatorUse,trackingAreaCode,cellBarred,intraFreqReselection,csg-Indication,csg-Identity,q-RxLevMinOffset,freqBandIndicator,specialSubframePatterns,MIB,SIB1,SI,Frequency Offset
06/29/2026,15:56:47:772,38.903706,-77.007056,2,1,5230,4,10 MHz,0,0,0,-56.94,-56.94,396,1,218915,7.13,21,-90.5,-90.5,-17.31,-4.66,218915,7.13,-88.1,-88.1,-5.92,-88.15,-5.51,-4.36,4,3,0,2,213,7,Yes,27458049,480,311,1,27396,1,0,False,,1,13,,6B54E000,484C469016B041A2FA019181852020410308584502C65C1524A818030292C612,,
06/29/2026,15:56:47:772,38.903706,-77.007056,2,1,5230,4,10 MHz,0,0,0,-56.94,-56.94,88,1,218907,7.13,26,-90.45,-90.45,-17.26,-5.32,218943,7.13,-89.95,-89.95,-7.76,-89.96,-7.32,-6.71,4,3,0,2,213,7,Yes,27478020,480,311,1,27392,1,0,False,,1,13,,6B54E000,484C469016B001A348049181852020410308584502C75C1524A818030292C612,,
06/29/2026,15:58:28:522,38.903686,-77.006898,3,2,5230,4,10 MHz,0,0,0,-66.14,-66.14,88,1,218895,7.13,18,-100.17,-100.17,-17.32,-4.53,218911,7.13,-95.05,-95.05,-2.68,-94.82,-3.85,-0.61,4,3,0,2,213,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,15:58:28:522,38.903686,-77.006898,3,2,5230,4,10 MHz,0,0,0,-66.14,-66.14,396,1,218903,7.13,13,-102.29,-102.29,-19.44,-7.84,218903,7.13,-99.09,-99.09,-6.73,-96.63,-5.66,-4.85,4,3,0,2,213,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,15:58:28:522,38.903686,-77.006898,3,2,5230,4,10 MHz,0,0,0,-66.14,-66.14,488,1,224623,7.31,0,-106.48,-106.48,-23.65,-12.89,224621,7.31,-96.34,-96.34,-4.97,-97.75,-5.27,-3.49,2,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,16:00:09:816,38.903665,-77.006741,4,3,5230,4,10 MHz,0,0,0,-69.73,-69.73,488,1,224609,7.31,0,-102.09,-102.09,-15.87,-4.66,224611,7.31,-90.41,-90.41,-0.87,-91.49,-1.23,5.69,2,3,0,0,181,0,No,266556618,480,311,1,27646,1,0,False,,1,13,,62D40000,684C469016BFEFE354CA9286A60881080181120300000000,,
06/29/2026,16:00:09:816,38.903665,-77.006741,4,3,5230,4,10 MHz,0,0,0,-69.73,-69.73,88,1,218891,7.12,21,-105.69,-105.69,-19.1,-6.62,218891,7.12,-97.11,-97.11,-2.38,-96.86,-2.85,0.79,4,3,0,2,213,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:00:09:816,38.903665,-77.006741,4,3,5230,4,10 MHz,0,0,0,-69.73,-69.73,396,1,218891,7.12,13,-106.12,-106.12,-19.52,-7.73,218991,7.13,-102.78,-102.78,-8.04,-99.78,-5.77,-5.62,4,3,0,2,213,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:01:29:469,38.903517,-77.005910,5,4,5230,4,10 MHz,0,0,0,-68.32,-68.32,396,1,218879,7.12,34,-99.43,-99.43,-14.68,-1.1,218859,7.12,-108.06,-108.06,-8.99,-107.33,-9.61,-8.8,4,3,0,2,213,7,Yes,27458049,480,311,1,27396,1,0,False,,1,13,,6B54E000,484C469016B041A2FA019181852020410308584502C65C1524A818030292C612,,
06/29/2026,16:01:29:469,38.903517,-77.005910,5,4,5230,4,10 MHz,0,0,0,-68.32,-68.32,88,1,218881,7.12,16,-107.88,-107.88,-23.13,-11.11,218917,7.13,-103.86,-103.86,-4.8,-107.76,-10.07,-6.11,4,3,0,2,213,7,Yes,27478020,480,311,1,27392,1,0,False,,1,13,,6B54E000,484C469016B001A348049181852020410308584502C75C1524A818030292C612,,
06/29/2026,16:01:29:469,38.903517,-77.005910,5,4,5230,4,10 MHz,0,0,0,-68.32,-68.32,488,1,224599,7.31,5,-110.78,-110.78,-25.88,-14.94,224609,7.31,-104.86,-104.86,-9.72,-106.01,-10.38,-9.57,2,3,0,0,181,0,No,266556618,480,311,1,27646,1,0,False,,1,13,,62D40000,684C469016BFEFE354CA9286A60881080181120300000000,,
06/29/2026,16:03:08:931,38.903409,-77.005299,6,5,5230,4,10 MHz,0,0,0,-56.42,-56.42,396,1,218863,7.12,37,-94.04,-94.04,-19.78,-6.94,218863,7.12,-85.94,-85.94,-2.9,-87.27,-3.09,0.04,4,3,0,2,213,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:03:08:931,38.903409,-77.005299,6,5,5230,4,10 MHz,0,0,0,-56.42,-56.42,397,1,218863,7.12,24,-93.76,-93.76,-19.5,-7.13,218891,7.12,-90.14,-90.14,-7.1,-91.55,-7.36,-6.3,4,3,0,2,102,7,Yes,27458050,480,311,1,27396,1,0,False,,1,13,,6998E000,484C469016B041A2FA029181852020410308584502C68C1524A818030292C686,,
06/29/2026,16:03:08:931,38.903409,-77.005299,6,5,5230,4,10 MHz,0,0,0,-56.42,-56.42,88,1,218864,7.12,0,-107.18,-107.18,-32.92,-21.08,218892,7.12,-90.12,-90.12,-7.09,-94.32,-10.12,-7.44,4,3,0,2,213,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:04:46:008,38.903400,-77.005370,7,6,5230,4,10 MHz,0,0,0,-67.63,-67.63,396,1,218849,7.12,37,-101.9,-101.9,-17.33,-4.58,218845,7.12,-95.13,-95.13,-3.49,-95.63,-3.06,-0.55,4,3,0,2,213,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:04:46:008,38.903400,-77.005370,7,6,5230,4,10 MHz,0,0,0,-67.63,-67.63,397,1,218849,7.12,34,-109.28,-109.28,-24.7,-12.62,218861,7.12,-95.85,-95.85,-4.21,-97.59,-5.02,-2.68,4,3,0,2,102,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:04:46:008,38.903400,-77.005370,7,6,5230,4,10 MHz,0,0,0,-67.63,-67.63,88,1,218852,7.12,0,-114.54,-114.54,-29.95,-18.06,218860,7.12,-95.84,-95.84,-4.21,-103.49,-10.93,-4.87,4,3,0,2,213,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:06:23:506,38.903508,-77.005975,8,7,5230,4,10 MHz,0,0,0,-75.43,-75.43,396,1,218839,7.12,16,-111.21,-111.21,-18.86,-6.74,218843,7.12,-108.72,-108.72,-7.66,-111.69,-10.12,-8.01,4,3,0,2,213,7,Yes,27458049,480,311,1,27396,1,0,False,,1,13,,6B54E000,484C469016B041A2FA019181852020410308584502C65C1524A818030292C612,,
06/29/2026,16:06:23:506,38.903508,-77.005975,8,7,5230,4,10 MHz,0,0,0,-75.43,-75.43,397,1,218839,7.12,24,-116.41,-116.41,-24.04,-12.28,218849,7.12,-103.22,-103.22,-2.15,-111.72,-10.13,-2.34,4,3,0,2,102,7,Yes,27458050,480,311,1,27396,1,0,False,,1,13,,6998E000,484C469016B041A2FA029181852020410308584502C68C1524A818030292C686,,
06/29/2026,16:06:23:506,38.903508,-77.005975,8,7,5230,4,10 MHz,0,0,0,-75.43,-75.43,88,1,218847,7.12,16,-117.98,-117.98,-25.59,-13.96,218851,7.12,-103.21,-103.21,-2.19,-104.52,-2.97,0.99,4,3,0,2,213,7,Yes,27478020,480,311,1,27392,1,0,False,,1,13,,6B54E000,484C469016B001A348049181852020410308584502C75C1524A818030292C612,,
06/29/2026,16:06:23:506,38.903508,-77.005975,8,7,5230,4,10 MHz,0,0,0,-75.43,-75.43,488,1,224565,7.31,0,-118.06,-118.06,-25.85,-15.09,224565,7.31,-108.06,-108.06,-6.45,-108.53,-6.93,-5.63,2,3,0,0,181,0,No,266556618,480,311,1,27646,1,0,False,,1,13,,62D40000,684C469016BFEFE354CA9286A60881080181120300000000,,
06/29/2026,16:07:37:481,38.903495,-77.006025,9,8,5230,4,10 MHz,0,0,0,-78.82,-78.82,396,1,218829,7.12,29,-111.29,-111.29,-16.91,-4.74,218831,7.12,-113.35,-113.35,-8.01,-114.23,-9.15,-7.91,4,3,0,2,213,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:07:37:481,38.903495,-77.006025,9,8,5230,4,10 MHz,0,0,0,-78.82,-78.82,397,1,218829,7.12,34,-113.52,-113.52,-19.15,-6.92,218845,7.12,-111.79,-111.79,-6.45,-116.24,-11.13,-7.54,4,3,0,2,102,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:07:37:481,38.903495,-77.006025,9,8,5230,4,10 MHz,0,0,0,-78.82,-78.82,88,1,218829,7.12,24,-118.47,-118.47,-24.08,-12.58,218845,7.12,-111.66,-111.66,-6.33,-110.78,-5.73,-4.76,4,3,0,2,213,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:07:37:481,38.903495,-77.006025,9,8,5230,4,10 MHz,0,0,0,-78.82,-78.82,488,1,224553,7.31,10,-119.1,-119.1,-24.08,-13.18,224549,7.31,-110.42,-110.42,-6.13,-111.05,-7.07,-5.52,2,3,0,0,181,0,No,,,,,,,,,,,,,,,,
06/29/2026,16:09:13:996,38.903482,-77.006075,10,9,5230,4,10 MHz,0,0,0,-78.71,-78.71,397,1,218817,7.12,34,-115.52,-115.52,-19.99,-7.86,218875,7.12,-110.6,-110.6,-6.56,-109.79,-6.54,-5.47,4,3,0,2,102,7,Yes,27458050,480,311,1,27396,1,0,False,,1,13,,6998E000,484C469016B041A2FA029181852020410308584502C68C1524A818030292C686,,
06/29/2026,16:09:13:996,38.903482,-77.006075,10,9,5230,4,10 MHz,0,0,0,-78.71,-78.71,396,1,218815,7.12,10,-116.49,-116.49,-20.96,-9.72,218819,7.12,-108.13,-108.13,-4.11,-109.19,-5.98,-3.4,4,3,0,2,213,7,Yes,27458049,480,311,1,27396,1,0,False,,1,13,,6B54E000,484C469016B041A2FA019181852020410308584502C65C1524A818030292C612,,
06/29/2026,16:09:13:996,38.903482,-77.006075,10,9,5230,4,10 MHz,0,0,0,-78.71,-78.71,88,1,218827,7.12,16,-119.36,-119.36,-23.82,-12.24,218877,7.12,-110.5,-110.5,-6.55,-113.77,-10.55,-7.56,4,3,0,2,213,7,Yes,27478020,480,311,1,27392,1,0,False,,1,13,,6B54E000,484C469016B001A348049181852020410308584502C75C1524A818030292C612,,
06/29/2026,16:10:28:134,38.903466,-77.006118,11,10,5230,4,10 MHz,0,0,0,-75.81,-75.81,396,1,218803,7.12,37,-109.36,-109.36,-17.72,-6.34,218807,7.12,-108.77,-108.77,-6.09,-109.91,-6.95,-5.38,4,3,0,2,213,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:10:28:134,38.903466,-77.006118,11,10,5230,4,10 MHz,0,0,0,-75.81,-75.81,397,1,218803,7.12,61,-111.55,-111.55,-19.92,-6.78,218803,7.12,-108.93,-108.93,-6.26,-107.9,-4.92,-4.15,4,3,0,2,102,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:12:08:075,38.903344,-77.005557,12,11,5230,4,10 MHz,0,0,0,-59.41,-59.41,397,1,218793,7.12,37,-90.4,-90.4,-14.46,1.3,218821,7.12,-93.64,-93.64,-3.39,-93.09,-3.68,-1.01,4,3,0,2,102,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:12:08:075,38.903344,-77.005557,12,11,5230,4,10 MHz,0,0,0,-59.41,-59.41,396,1,218791,7.12,24,-101.85,-101.85,-25.91,-15.35,218815,7.12,-99.52,-99.52,-9.26,-99.39,-9.98,-9.14,4,3,0,2,213,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:13:40:108,38.903436,-77.006189,13,12,5230,4,10 MHz,0,0,0,-70.82,-70.82,397,1,218799,7.12,21,-102.85,-102.85,-14.54,1.65,218799,7.12,-94,-94,-0.57,-93.95,-0.49,8.84,4,3,0,2,102,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:13:40:108,38.903436,-77.006189,13,12,5230,4,10 MHz,0,0,0,-70.82,-70.82,396,1,218780,7.12,16,-110.42,-110.42,-22.11,-11.27,218798,7.12,-105.53,-105.53,-12.09,-104.48,-11.03,-11.21,4,3,0,2,213,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:15:16:851,38.903411,-77.006283,14,13,5230,4,10 MHz,0,0,0,-68.92,-68.92,397,1,218767,7.12,61,-104.46,-104.46,-18.1,-2.96,218779,7.12,-107.85,-107.85,-6.98,-106.87,-6.87,-5.94,4,3,0,2,102,7,Yes,27458050,480,311,1,27396,1,0,False,,1,13,,6998E000,484C469016B041A2FA029181852020410308584502C68C1524A818030292C686,,
06/29/2026,16:15:16:851,38.903411,-77.006283,14,13,5230,4,10 MHz,0,0,0,-68.92,-68.92,396,1,218766,7.12,2,-107.32,-107.32,-20.95,-10.16,218766,7.12,-108.46,-108.46,-7.56,-108.06,-8.07,-7.05,4,3,0,2,213,7,Yes,27458049,480,311,1,27396,1,0,False,,1,13,,6B54E000,484C469016B041A2FA019181852020410308584502C65C1524A818030292C612,,
06/29/2026,16:16:50:815,38.903335,-77.005914,15,14,5230,4,10 MHz,0,0,0,-58.72,-58.72,397,1,218753,7.12,48,-92.37,-92.37,-16.22,-0.72,218831,7.12,-92.44,-92.44,-5.66,-97.77,-8.75,-5.5,4,3,0,2,102,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:16:50:815,38.903335,-77.005914,15,14,5230,4,10 MHz,0,0,0,-58.72,-58.72,396,1,218753,7.12,34,-95.37,-95.37,-19.23,-7.7,218757,7.12,-89.69,-89.69,-2.91,-93.03,-4.01,-0.55,4,3,0,2,213,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:18:38:554,38.903307,-77.005623,16,15,5230,4,10 MHz,0,0,0,-65.83,-65.83,396,1,218739,7.12,34,-100.18,-100.18,-17.55,-4.78,218807,7.12,-101.54,-101.54,-8.54,-100.99,-8.79,-8.04,4,3,0,2,213,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:18:38:554,38.903307,-77.005623,16,15,5230,4,10 MHz,0,0,0,-65.83,-65.83,397,1,218745,7.12,34,-100.51,-100.51,-17.87,-5.33,218747,7.12,-95.82,-95.82,-2.81,-95.41,-3.21,-0.04,4,3,0,2,102,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:20:09:840,38.903348,-77.005847,17,16,5230,4,10 MHz,0,0,0,-67.73,-67.73,397,1,218731,7.12,64,-97.74,-97.74,-13.39,2.08,218739,7.12,-94.2,-94.2,-1.9,-94.54,-2.05,2.4,4,3,0,2,102,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:20:09:840,38.903348,-77.005847,17,16,5230,4,10 MHz,0,0,0,-67.73,-67.73,396,1,218733,7.12,13,-110.22,-110.22,-25.86,-14.71,218741,7.12,-102.89,-102.89,-10.59,-103.14,-10.66,-10.23,4,3,0,2,213,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:21:53:116,38.903403,-77.006285,18,17,5230,4,10 MHz,0,0,0,-76.13,-76.13,397,1,218719,7.12,61,-113.12,-113.12,-19.82,-5.67,218739,7.12,-105.67,-105.67,-2.77,-106.05,-3.25,0,4,3,0,2,102,7,Yes,27458050,480,311,1,27396,1,0,False,,1,13,,6998E000,484C469016B041A2FA029181852020410308584502C68C1524A818030292C686,,
06/29/2026,16:21:53:116,38.903403,-77.006285,18,17,5230,4,10 MHz,0,0,0,-76.13,-76.13,396,1,218721,7.12,16,-123.42,-123.42,-29.98,-19.51,218739,7.12,-112.21,-112.21,-9.28,-113.63,-10.81,-9.53,4,3,0,2,213,7,Yes,27458049,480,311,1,27396,1,0,False,,1,13,,6B54E000,484C469016B041A2FA019181852020410308584502C65C1524A818030292C612,,
06/29/2026,16:23:18:052,38.903376,-77.006353,19,18,5230,4,10 MHz,0,0,0,-57.32,-57.32,397,1,218707,7.12,72,-90.23,-90.23,-16.1,0.35,218719,7.12,-92.06,-92.06,-6.9,-92.97,-8.25,-6.72,4,3,0,2,102,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:23:18:052,38.903376,-77.006353,19,18,5230,4,10 MHz,0,0,0,-57.32,-57.32,396,1,218714,7.12,2,-101.09,-101.09,-26.96,-16.72,218716,7.12,-88.83,-88.83,-3.67,-87.8,-3.1,-0.68,4,3,0,2,213,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:25:02:641,38.903262,-77.005834,20,19,5230,4,10 MHz,0,0,0,-57.33,-57.33,397,1,218695,7.12,93,-88.7,-88.7,-14.17,2.65,218731,7.12,-90.45,-90.45,-5.13,-92.02,-6.67,-4.52,4,3,0,2,102,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:25:02:641,38.903262,-77.005834,20,19,5230,4,10 MHz,0,0,0,-57.33,-57.33,396,1,218702,7.12,24,-103.88,-103.88,-29.34,-18.71,218698,7.12,-94.58,-94.58,-9.19,-93.48,-8.1,-7.97,4,3,0,2,213,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:26:37:859,38.903297,-77.006107,21,20,5230,4,10 MHz,0,0,0,-61.23,-61.23,292,1,218701,7.12,2,-97.14,-97.14,-18.55,-5.26,218699,7.12,-89.93,-89.93,-1.71,-96.18,-7.54,-1.1,4,,,,,,,,,,,,,,,,,,,,,,
06/29/2026,16:26:37:859,38.903297,-77.006107,21,20,5230,4,10 MHz,0,0,0,-61.23,-61.23,397,1,218685,7.12,32,-99.4,-99.4,-20.81,-7.82,218697,7.12,-89.93,-89.93,-1.7,-95.26,-6.62,-0.74,4,3,0,2,102,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:26:37:859,38.903297,-77.006107,21,20,5230,4,10 MHz,0,0,0,-61.23,-61.23,291,1,218699,7.12,2,-99.19,-99.19,-20.6,-9.93,218697,7.12,-94.13,-94.13,-5.9,-93.31,-4.68,-3.75,4,3,0,2,252,7,Yes,27431937,480,311,1,27396,1,0,False,,1,13,,6BF0E000,684C469016B041A294019186A6188081040C216113096058E782A4950300605258F30000000000000000000000000000,,
06/29/2026,16:26:37:859,38.903297,-77.006107,21,20,5230,4,10 MHz,0,0,0,-61.23,-61.23,396,1,218695,7.12,29,-107.74,-107.74,-29.15,-18.92,218699,7.12,-94.1,-94.1,-5.88,-99.71,-11.1,-6.82,4,3,0,2,213,7,Yes,,,,,,,,,,,,,,,,
06/29/2026,16:28:22:841,38.903324,-77.006193,22,21,5230,4,10 MHz,0,0,0,-66.13,-66.13,396,1,218675,7.12,40,-97.71,-97.71,-15.61,-3.31,218683,7.12,-94.65,-94.65,-2.09,-99.62,-7.95,-2.4,4,3,0,2,213,7,Yes,27458049,480,311,1,27396,1,0,False,,1,13,,6B54E000,484C469016B041A2FA019181852020410308584502C65C1524A818030292C612,,
06/29/2026,16:28:22:841,38.903324,-77.006193,22,21,5230,4,10 MHz,0,0,0,-66.13,-66.13,397,1,218685,7.12,16,-104.33,-104.33,-22.23,-9.56,218671,7.12,-98.9,-98.9,-6.36,-97.61,-5.94,-4.91,4,3,0,2,102,7,Yes,27458050,480,311,1,27396,1,0,False,,1,13,,6998E000,484C469016B041A2FA029181852020410308584502C68C1524A818030292C686,,
