ESN,Protocol,Band,System Date,System Time,GPS Status,UTC Date,UTC Time,Fix Time,Latitude,Longitude,Altitude,Number of Satellites,Velocity,Absolute Time Stamp Date,Absolute Time Stamp Time,Loop Count,Antenna Gain,Cable Loss,SSB RSSI,Adjusted SSB RSSI,SSB RSSI2,Adjusted SSB RSSI2,Cell ID,Channel Frequency,Repetition Period,Subcarrier Spacing,Repetition Pattern,PCIs,Beams,Beam Index,Half Frame Number,Time Offset,PSS_RP,Adjusted PSS_RP,PSS_RQ,PSS_CINR,SSS_RP,Adjusted SSS_RP,SSS_RQ,SSS_CINR,SSS_DELAY_SPREAD,SS_CINR,RSPBCH_RP,Adjusted RSPBCH_RP,RSPBCH_RQ,RSPBCH_CINR,SSB_RP,Adjusted SSB_RP,SSB_RQ,SSB_CINR,MIB Raw,SIB1 Raw,MCC,MNC,Operation Mode,Bandwidth,fCarrier,TAC,Cell Identity,RedCap,TD Pattern,TD Pattern(Full),SIB1 DECODE Raw,Block Length,k_SSB,AL,Candidate,DCI type,DCI length,DCI Contents
32409007,C00F,25,06/29/2026,15:55:49:564,2,00/00/0000,00:00:00:000,,38.903706,-77.007056,0.00,0,0.00,,,4,0,0,-76.6,-76.6,,,538,1935.850000,20,15,A,1,1,0,0,822996,-106.34,-106.34,-15.85,-1.78,-105.85,-105.85,-15.14,-1,192,-2,-105.95,-105.95,-15.87,-1.82,-106.04,-106.04,-15.8,-1.94,444394,6E88100A098849813FB800530EE4056826234904FEE0014C3B9015000C50010810C04A0818014000004E653CA10F9B82010000008400020834201A8510019C20605A59E000004EE5CA7942D22D007AC0D4419900204BCE08DC21B8637106FB65F186963C805455EE4314410E00000000,310;311,260;490,Stand Alone,15,1937.500000,5238272,5573939221,Yes,,,0C04080010275EA000000000,12,04,08,00,10,39,5EA000000000
32409007,C00F,25,06/29/2026,15:55:49:570,2,00/00/0000,00:00:00:000,,38.903701,-77.007017,0.00,0,0.00,,,5,0,0,-76.1,-76.1,,,538,1935.850000,20,15,A,1,1,0,0,822996,-109.12,-109.12,-18.55,-5.52,-108.69,-108.69,-18.65,-5.57,192,-5.97,-105.67,-105.67,-16.17,-1.82,-110.61,-110.61,-20.85,-1.82,444394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,15:55:49:570,2,00/00/0000,00:00:00:000,,38.903696,-77.006977,0.00,0,0.00,,,6,0,0,-77.4,-77.4,,,538,1935.850000,20,15,A,1,1,0,0,822996,-109.53,-109.53,-18.54,-5.44,-110.71,-110.71,-19.9,-8.03,192,-6.9,-107.63,-107.63,-16.57,-6.61,-109.1,-109.1,-18.1,-6.48,444394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,15:55:49:570,2,00/00/0000,00:00:00:000,,38.903691,-77.006938,0.00,0,0.00,,,7,0,0,-77.3,-77.3,,,538,1935.850000,20,15,A,1,1,0,0,822996,-111.21,-111.21,-19.93,-7.15,-111.74,-111.74,-20.28,-8.09,224,-7.73,-107.1,-107.1,-16.42,-3.06,-108.26,-108.26,-17.35,-5.31,444394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,15:57:26:452,2,00/00/0000,00:00:00:000,,38.903686,-77.006898,0.00,0,0.00,,,8,0,0,-75.1,-75.1,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,15:57:26:452,2,00/00/0000,00:00:00:000,,38.903680,-77.006859,0.00,0,0.00,,,9,0,0,-75.6,-75.6,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,15:57:26:452,2,00/00/0000,00:00:00:000,,38.903675,-77.006820,0.00,0,0.00,,,10,0,0,-75.1,-75.1,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,15:57:26:452,2,00/00/0000,00:00:00:000,,38.903670,-77.006780,0.00,0,0.00,,,11,0,0,-75.6,-75.6,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,15:59:15:855,2,00/00/0000,00:00:00:000,,38.903665,-77.006741,0.00,0,0.00,,,12,0,0,-81.1,-81.1,,,538,1935.850000,20,15,A,1,1,0,0,822836,-107.52,-107.52,-11.96,6.64,-108.05,-108.05,-12.24,5.15,0,6.82,-106.37,-106.37,-12.08,7.5,-107.27,-107.27,-12.55,7.08,564394,6E88100A098849813FB800530EE4056826234904FEE0014C3B9015000C50010810C04A0818014000004E653CA10F9B82010000008400020834201A8510019C20605A59E000004EE5CA7942D22D007AC0D4419900204BCE08DC21B8637106FB65F186963C805455EE4314410E00000000,310;311,260;490,Stand Alone,15,1937.500000,5238272,5573939221,Yes,,,0C04080010275F6000000000,12,04,08,00,10,39,5F6000000000
32409007,C00F,25,06/29/2026,15:59:15:873,2,00/00/0000,00:00:00:000,,38.903628,-77.006533,0.00,0,0.00,,,13,0,0,-81.4,-81.4,,,538,1935.850000,20,15,A,1,1,0,0,822836,-108.79,-108.79,-12.44,4.49,-109.59,-109.59,-12.87,3.16,0,4.74,-106.55,-106.55,-12.13,6.46,-108.15,-108.15,-13.11,5.45,584394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,15:59:15:873,2,00/00/0000,00:00:00:000,,38.903591,-77.006325,0.00,0,0.00,,,14,0,0,-81.2,-81.2,,,538,1935.850000,20,15,A,1,1,0,0,822836,-108.76,-108.76,-12.5,4.56,-109.8,-109.8,-13.21,2.36,0,4.29,-106.57,-106.57,-12.41,6.61,-108.2,-108.2,-13.39,5.23,584394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,15:59:15:873,2,00/00/0000,00:00:00:000,,38.903554,-77.006118,0.00,0,0.00,,,15,0,0,-80.6,-80.6,,,538,1935.850000,20,15,A,1,1,0,0,822836,-108.76,-108.76,-12.93,3.17,-109.02,-109.02,-13.16,2.77,0,3.77,-105.94,-105.94,-12.27,6.7,-107.71,-107.71,-13.41,4.94,584394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,16:00:30:774,2,00/00/0000,00:00:00:000,,38.903517,-77.005910,0.00,0,0.00,,,16,0,0,-69.8,-69.8,,,538,1935.850000,20,15,A,1,1,0,0,822804,-94.1,-94.1,-10.83,20.07,-94.15,-94.15,-10.95,17.67,0,20.14,-94.66,-94.66,-11.04,17.69,-94.32,-94.32,-10.84,18.73,004394,6E88100A098849813FB800530EE4056826234904FEE0014C3B9015000C50010810C04A0818014000004E653CA10F9B82010000008400020834201A8510019C20605A59E000004EE5CA7942D22D007AC0D4419900204BCE08DC21B8637106FB65F186963C805455EE4314410E00000000,310;311,260;490,Stand Alone,15,1937.500000,5238272,5573939221,Yes,,,0C04080010275F6000000000,12,04,08,00,10,39,5F6000000000
32409007,C00F,25,06/29/2026,16:00:30:780,2,00/00/0000,00:00:00:000,,38.903504,-77.005834,0.00,0,0.00,,,17,0,0,-69.8,-69.8,,,538,1935.850000,20,15,A,1,1,0,0,822804,-94.1,-94.1,-10.84,19.91,-94.06,-94.06,-10.84,19.54,0,20.32,-94.53,-94.53,-10.95,19.05,-94.28,-94.28,-10.82,19.26,004394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,16:00:30:780,2,00/00/0000,00:00:00:000,,38.903490,-77.005757,0.00,0,0.00,,,18,0,0,-69.9,-69.9,,,538,1935.850000,20,15,A,1,1,0,0,822804,-94.23,-94.23,-10.83,19.65,-94.32,-94.32,-10.96,16.89,0,18.79,-94.53,-94.53,-10.95,17.7,-94.38,-94.38,-10.87,18.42,004394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,16:00:30:780,2,00/00/0000,00:00:00:000,,38.903477,-77.005681,0.00,0,0.00,,,19,0,0,-70.1,-70.1,,,538,1935.850000,20,15,A,1,1,0,0,822804,-94.61,-94.61,-10.84,19.43,-94.33,-94.33,-10.84,19.47,0,20.06,-94.65,-94.65,-10.9,18.41,-94.59,-94.59,-10.89,18.94,004394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,16:02:13:966,2,00/00/0000,00:00:00:000,,38.903463,-77.005605,0.00,0,0.00,,,20,0,0,-69.4,-69.4,,,538,1935.850000,20,15,A,1,1,0,0,822740,-93.52,-93.52,-10.84,19.69,-93.69,-93.69,-10.96,17.31,0,18.79,-94.3,-94.3,-11.06,16.67,-93.85,-93.85,-10.8,18.06,0A4394,6E88100A098849813FB800530EE4056826234904FEE0014C3B9015000C50010810C04A0818014000004E653CA10F9B82010000008400020834201A8510019C20605A59E000004EE5CA7942D22D007AC0D4419900204BCE08DC21B8637106FB65F186963C805455EE4314410E00000000,310;311,260;490,Stand Alone,15,1937.500000,5238272,5573939221,Yes,,,0C04080010275F6000000000,12,04,08,00,10,39,5F6000000000
32409007,C00F,25,06/29/2026,16:02:13:971,2,00/00/0000,00:00:00:000,,38.903450,-77.005528,0.00,0,0.00,,,21,0,0,-70.2,-70.2,,,538,1935.850000,20,15,A,1,1,0,0,822740,-94.48,-94.48,-10.93,18.06,-94.63,-94.63,-10.99,16.41,0,18.07,-95.05,-95.05,-11.04,16.1,-94.71,-94.71,-10.85,17.39,0A4394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,16:02:13:971,2,00/00/0000,00:00:00:000,,38.903436,-77.005452,0.00,0,0.00,,,22,0,0,-70.2,-70.2,,,538,1935.850000,20,15,A,1,1,0,0,822740,-94.49,-94.49,-10.95,17.58,-94.61,-94.61,-10.99,16.45,0,17.88,-94.95,-94.95,-11,16.43,-94.67,-94.67,-10.85,17.39,0A4394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,16:02:13:972,2,00/00/0000,00:00:00:000,,38.903423,-77.005376,0.00,0,0.00,,,23,0,0,-70.3,-70.3,,,538,1935.850000,20,15,A,1,1,0,0,822740,-94.57,-94.57,-10.97,17.28,-94.67,-94.67,-11.01,15.84,0,17.47,-95.15,-95.15,-11.06,16.01,-94.79,-94.79,-10.86,16.98,0A4394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,16:03:43:505,2,00/00/0000,00:00:00:000,,38.903409,-77.005299,0.00,0,0.00,,,24,0,0,-68.6,-68.6,,,538,1935.850000,20,15,A,1,1,0,0,822708,-94.79,-94.79,-12.41,4.16,-95.02,-95.02,-12.56,3.76,0,4.86,-95.54,-95.54,-13.4,3.27,-95.1,-95.1,-12.86,4.34,684394,6E88100A098849813FB800530EE4056826234904FEE0014C3B9015000C50010810C04A0818014000004E653CA10F9B82010000008400020834201A8510019C20605A59E000004EE5CA7942D22D007AC0D4419900204BCE08DC21B8637106FB65F186963C805455EE4314410E00000000,310;311,260;490,Stand Alone,15,1937.500000,5238272,5573939221,Yes,,,0C04080010275EA000000000,12,04,08,00,10,39,5EA000000000
32409007,C00F,25,06/29/2026,16:03:43:522,2,00/00/0000,00:00:00:000,,38.903407,-77.005317,0.00,0,0.00,,,25,0,0,-68.9,-68.9,,,538,1935.850000,20,15,A,1,1,0,0,822708,-95.45,-95.45,-12.55,3.75,-95.71,-95.71,-12.72,3.34,0,4.44,-95.89,-95.89,-13.52,2.72,-95.68,-95.68,-13.12,3.84,684394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,16:03:43:523,2,00/00/0000,00:00:00:000,,38.903404,-77.005335,0.00,0,0.00,,,26,0,0,-68.9,-68.9,,,538,1935.850000,20,15,A,1,1,0,0,822708,-95.32,-95.32,-12.53,3.82,-95.69,-95.69,-12.76,3.16,0,4.39,-94.93,-94.93,-12.55,3.96,-95.31,-95.31,-12.77,4.23,6A4394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,16:03:43:523,2,00/00/0000,00:00:00:000,,38.903402,-77.005352,0.00,0,0.00,,,27,0,0,-68.8,-68.8,,,538,1935.850000,20,15,A,1,1,0,0,822708,-95.34,-95.34,-12.54,3.83,-95.62,-95.62,-12.69,3.37,0,4.5,-95.35,-95.35,-13.08,2.83,-95.43,-95.43,-12.97,3.88,6A4394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,16:05:31:596,2,00/00/0000,00:00:00:000,,38.903508,-77.005975,0.00,0,0.00,,,28,0,0,-84.4,-84.4,,,538,1935.850000,20,15,A,2,2,0,0,822644,-109.44,-109.44,-12.36,4.04,-109.78,-109.78,-12.47,4.17,0,5,-111.62,-111.62,-13.14,2.88,-110.16,-110.16,-12.17,4.42,304394,6E88100A098849813FB800530EE4056826234904FEE0014C3B9015000C50010810C04A0818014000004E653CA10F9B82010000008400020834201A8510019C20605A59E000004EE5CA7942D22D007AC0D4419900204BCE08DC21B8637106FB65F186963C805455EE4314410E00000000,310;311,260;490,Stand Alone,15,1937.500000,5238272,5573939221,Yes,,,0C04080010275EA000000000,12,04,08,00,10,39,5EA000000000
32409007,C00F,25,06/29/2026,16:05:31:596,2,00/00/0000,00:00:00:000,,38.903508,-77.005975,0.00,0,0.00,,,28,0,0,-84.4,-84.4,,,101,1935.850000,20,15,A,2,2,0,0,822648,-115.54,-115.54,-18.45,-6.47,-115.35,-115.35,-17.96,-6.48,0,-6.83,-113.61,-113.61,-15.13,-2.14,-118.56,-118.56,-20.55,-2.14,304394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,16:05:31:614,2,00/00/0000,00:00:00:000,,38.903506,-77.005984,0.00,0,0.00,,,29,0,0,-84.7,-84.7,,,538,1935.850000,20,15,A,2,2,0,0,822644,-109.88,-109.88,-12.37,4.18,-110.03,-110.03,-12.53,3.94,0,4.96,-111.35,-111.35,-12.47,4.99,-110.36,-110.36,-12,4.97,304394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,16:05:31:614,2,00/00/0000,00:00:00:000,,38.903506,-77.005984,0.00,0,0.00,,,29,0,0,-84.7,-84.7,,,101,1935.850000,20,15,A,2,2,0,0,822648,-115.91,-115.91,-18.4,-6.37,-115.65,-115.65,-18.09,-6.05,0,-6.58,-112.92,-112.92,-14.04,-5.07,-114.61,-114.61,-16.23,-5.72,304394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,16:05:31:615,2,00/00/0000,00:00:00:000,,38.903504,-77.005992,0.00,0,0.00,,,30,0,0,-84.2,-84.2,,,538,1935.850000,20,15,A,2,2,0,0,822644,-109.12,-109.12,-12.14,5.07,-109.28,-109.28,-12.24,5.01,0,5.94,-110.97,-110.97,-12.62,3.41,-109.7,-109.7,-11.85,5.19,304394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,16:05:31:615,2,00/00/0000,00:00:00:000,,38.903504,-77.005992,0.00,0,0.00,,,30,0,0,-84.2,-84.2,,,101,1935.850000,20,15,A,2,2,0,0,822648,-116.23,-116.23,-19.23,-7.63,-115.96,-115.96,-18.86,-7.21,0,-7.56,-111.79,-111.79,-13.43,-5.12,-114.15,-114.15,-16.29,-6.13,304394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,16:05:31:615,2,00/00/0000,00:00:00:000,,38.903502,-77.006000,0.00,0,0.00,,,31,0,0,-85.1,-85.1,,,538,1935.850000,20,15,A,2,2,0,0,822644,-110.55,-110.55,-12.51,3.8,-110.66,-110.66,-12.57,3.73,32,4.66,-112.13,-112.13,-13.03,2.57,-111.04,-111.04,-12.33,4.04,304394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,16:05:31:615,2,00/00/0000,00:00:00:000,,38.903502,-77.006000,0.00,0,0.00,,,31,0,0,-85.1,-85.1,,,101,1935.850000,20,15,A,2,2,0,0,822648,-116.61,-116.61,-18.56,-6.08,-116.27,-116.27,-18.09,-6.52,0,-6.68,-116.4,-116.4,-17.29,-4.41,-121.35,-121.35,-22.6,-4.41,304394,,,,Stand Alone,15,1937.500000,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,16:06:39:174,2,00/00/0000,00:00:00:000,,38.903499,-77.006008,0.00,0,0.00,,,32,0,0,-77.8,-77.8,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,16:06:39:174,2,00/00/0000,00:00:00:000,,38.903497,-77.006017,0.00,0,0.00,,,33,0,0,-77.8,-77.8,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,16:06:39:174,2,00/00/0000,00:00:00:000,,38.903495,-77.006025,0.00,0,0.00,,,34,0,0,-77.8,-77.8,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,16:06:39:174,2,00/00/0000,00:00:00:000,,38.903493,-77.006033,0.00,0,0.00,,,35,0,0,-77.6,-77.6,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,
32409007,C00F,25,06/29/2026,16:08:22:275,2,00/00/0000,00:00:00:000,,38.903491,-77.006042,0.00,0,0.00,,,36,0,0,-82.8,-82.8,,,101,1935.850000,20,15,A,1,1,0,0,822600,-110.68,-110.68,-14.02,0.89,-110.68,-110.68,-14.03,1.54,0,1.5,-116.06,-116.06,-19.68,-9.38,-112.36,-112.36,-15.89,1.5,044394,6E88100A098849813FB800530EE405A826234904FEE0014C3B9016000C50010810C04A0818014000004E653CA10F9B82010000008400020834201A8510019C20605A59E000004EE5CA7942D22D007AC0D4419900828BCE08DC21B8637106FB65F119563C805455EE4314410E00000000,310;311,260;490,Stand Alone,15,1937.500000,5238272,5573939222,Yes,,,0C04080010275EA000000000,12,04,08,00,10,39,5EA000000000
