Date,Time,Latitude,Longitude,Loop Count,Sweep Number,Channel Number,Channel Style,Block Status,Antenna Gain,Cable Loss,Antenna Gain RF2,Cable Loss RF2,SSB RSSI,Adjusted SSB RSSI,SSB RSSI2,Adjusted SSB RSSI2,Cell ID,Channel Frequency,Repetition Period,Subcarrier Spacing,Repetition Pattern,Channels,PCIs,Beams,Beam Index,Half Frame Number,Time Offset,Time Offset (msec),Primary Sync Signal - Received Power,Adjusted Primary Sync Signal - Received Power,Primary Sync Signal - Received Quality,Primary Sync Signal - CINR,Secondary Sync Signal - Received Power,Adjusted Secondary Sync Signal - Received Power,Secondary Sync Signal - Received Quality,Secondary Sync Signal - CINR,Secondary Sync Signal - Delay Spread,Sync Signal - CINR,DMRS-PBCH - Received Power,Adjusted DMRS-PBCH - Received Power,DMRS-PBCH - Received Quality,DMRS-PBCH - CINR,SSB - Received Power,Adjusted SSB - Received Power,SSB - Received Quality,SSB - CINR,BCCH-BCH-Master Information Block,BCCH-DL-SCH-System Information Block 1,MCC,MNC,Operation Mode,Bandwidth,fCarrier,TAC,Cell Identity,RedCap,TD Pattern,TD Pattern(Full),SIB1 Decode,Block Length,k_SSB,AL,Candidate,DCI type,DCI length,DCI Contents,Reserved1a, Reserved1b,Reserved2a, Reserved2b,Reserved3a, Reserved3b,Reserved4a, Reserved4b,Reserved5a, Reserved5b,Reserved6a, Reserved6b,Reserved7a, Reserved7b,Reserved8a, Reserved8b
06/29/2026,15:55:52:165,38.903706,-77.007056,1,2,520110,1,0,0,0,0,0,-49.9,-49.9,,,625,2600.550000,20,30,C,1,1,1,0,0,823232,6.69,-73.91,-73.91,-10.8,25.34,-74.26,-74.26,-10.81,23.57,0,24.57,-73.98,-73.98,-10.81,24.78,-74.05,-74.05,-10.85,24.64,656624,6E80160A098849813FB80053B3784BA826234904FEE0014ECDE12E000C50010810C04B082802000003106044B30F9B82010000008400020834601440350A2200840000621E38112CDA41201F181AA8332019917BC11B84370C6E20DC51B8C37206E48DF6EBE338AC79009300330118080C020100001155EE43000000,310;311,260;490,Stand Alone,100,2640.000000,5238272,5617082670,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,0C16080010275FF600000000,12,16,08,00,10,39,5FF600000000,,
06/29/2026,15:55:52:172,38.903698,-77.006993,2,3,520110,1,0,0,0,0,0,-50,-50,,,625,2600.550000,20,30,C,1,1,1,0,0,823232,6.69,-74.07,-74.07,-10.81,25.35,-74.39,-74.39,-10.81,25.76,0,25.55,-74.1,-74.1,-10.81,25.19,-74.19,-74.19,-10.85,25.43,,,,,Stand Alone,100,2640.000000,5238272,5617082670,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,,,,,,,,,,
06/29/2026,15:55:52:172,38.903690,-77.006930,3,4,520110,1,0,0,0,0,0,-50.1,-50.1,,,625,2600.550000,20,30,C,1,1,1,0,0,823232,6.69,-74.28,-74.28,-10.8,28.94,-74.52,-74.52,-10.8,28.94,0,27.14,-74.21,-74.21,-10.79,27.22,-74.34,-74.34,-10.86,27.17,,,,,Stand Alone,100,2640.000000,5238272,5617082670,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,,,,,,,,,,
06/29/2026,15:55:52:172,38.903681,-77.006867,4,5,520110,1,0,0,0,0,0,-50.2,-50.2,,,625,2600.550000,20,30,C,1,1,1,0,0,823232,6.69,-74.32,-74.32,-10.8,28.86,-74.56,-74.56,-10.8,30.29,0,27.53,-74.27,-74.27,-10.83,23.61,-74.38,-74.38,-10.88,25.82,,,,,Stand Alone,100,2640.000000,5238272,5617082670,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,,,,,,,,,,
06/29/2026,15:57:28:994,38.903673,-77.006804,5,6,520110,1,0,0,0,0,0,-50.9,-50.9,,,625,2600.550000,20,30,C,1,1,1,0,0,823168,6.69,-75.02,-75.02,-10.8,28.96,-75.09,-75.09,-10.8,29.13,0,27.25,-75.11,-75.11,-10.8,26.03,-75.07,-75.07,-10.79,26.82,216624,6E80160A098849813FB80053B3784BA826234904FEE0014ECDE12E000C50010810C04B082802000003106044B30F9B82010000008400020834601440350A2200840000621E38112CDA41201F181AA8332019917BC11B84370C6E20DC51B8C37206E48DF6EBE338AC79009300330118080C020100001155EE43000000,310;311,260;490,Stand Alone,100,2640.000000,5238272,5617082670,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,0C16080010275FF600000000,12,16,08,00,10,39,5FF600000000,,
06/29/2026,15:59:18:387,38.903665,-77.006741,6,7,520110,1,0,0,0,0,0,-56.2,-56.2,,,625,2600.550000,20,30,C,1,1,1,0,0,823104,6.69,-80.62,-80.62,-10.81,24.74,-80.63,-80.63,-10.8,27.92,0,25.68,-80.32,-80.32,-10.86,25.13,-80.52,-80.52,-10.94,25.49,,,,,Stand Alone,100,2640.000000,5238272,5617082670,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,,,,,,,,,,
06/29/2026,16:00:33:161,38.903517,-77.005910,7,8,520110,1,0,0,0,0,0,-65.2,-65.2,,,625,2600.550000,20,30,C,1,1,1,0,0,823088,6.69,-89.91,-89.91,-10.81,23.35,-90.15,-90.15,-10.81,23.91,0,23.82,-89.11,-89.11,-10.81,22.84,-89.71,-89.71,-11.12,23.43,,,,,Stand Alone,100,2640.000000,5238272,5617082670,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,,,,,,,,,,
06/29/2026,16:02:16:641,38.903463,-77.005605,8,9,520110,1,0,0,0,0,0,-66.2,-66.2,,,625,2600.550000,20,30,C,1,1,1,0,0,823024,6.69,-90.7,-90.7,-10.82,21.29,-91.12,-91.12,-10.82,21.96,0,22.15,-90.09,-90.09,-10.79,21.32,-90.62,-90.62,-11.07,21.83,,,,,Stand Alone,100,2640.000000,5238272,5617082670,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,,,,,,,,,,
06/29/2026,16:03:46:243,38.903409,-77.005299,9,10,520110,1,0,0,0,0,0,-63.5,-63.5,,,625,2600.550000,20,30,C,1,1,1,0,0,822976,6.69,-87.83,-87.83,-10.91,19.76,-87.95,-87.95,-10.92,18.95,0,20,-87.87,-87.87,-11.06,16.34,-87.88,-87.88,-11.02,18.46,,,,,Stand Alone,100,2640.000000,5238272,5617082670,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,,,,,,,,,,
06/29/2026,16:05:34:071,38.903508,-77.005975,10,11,520110,1,0,0,0,0,0,-70.8,-70.8,,,625,2600.550000,20,30,C,1,1,1,0,0,822924,6.69,-95.13,-95.13,-10.82,21.79,-95.22,-95.22,-10.82,21.88,0,22.33,-94.81,-94.81,-10.81,22.25,-95.06,-95.06,-10.94,22.3,,,,,Stand Alone,100,2640.000000,5238272,5617082670,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,,,,,,,,,,
