ESN,Protocol,Band,System Date,System Time,GPS Status,UTC Date,UTC Time,Fix Time,Latitude,Longitude,Altitude,Number of Satellites,Velocity,Absolute Time Stamp Date,Absolute Time Stamp Time,Loop Count,Antenna Gain,Cable Loss,SSB RSSI,Adjusted SSB RSSI,SSB RSSI2,Adjusted SSB RSSI2,Cell ID,Channel Frequency,Repetition Period,Subcarrier Spacing,Repetition Pattern,PCIs,Beams,Beam Index,Half Frame Number,Time Offset,PSS_RP,Adjusted PSS_RP,PSS_RQ,PSS_CINR,SSS_RP,Adjusted SSS_RP,SSS_RQ,SSS_CINR,SSS_DELAY_SPREAD,SS_CINR,RSPBCH_RP,Adjusted RSPBCH_RP,RSPBCH_RQ,RSPBCH_CINR,SSB_RP,Adjusted SSB_RP,SSB_RQ,SSB_CINR,MIB Raw,SIB1 Raw,MCC,MNC,Operation Mode,Bandwidth,fCarrier,TAC,Cell Identity,RedCap,TD Pattern,TD Pattern(Full),SIB1 DECODE Raw,Block Length,k_SSB,AL,Candidate,DCI type,DCI length,DCI Contents
32409007,C00F,41,06/29/2026,15:55:51:809,2,00/00/0000,00:00:00:000,,38.903706,-77.007056,0.00,0,0.00,,,4,0,0,-85.3,-85.3,,,283,2510.550000,20,30,C,2,2,1,0,849296,-108.7,-108.7,-11.07,13.97,-109.7,-109.7,-11.72,7.82,48,11.2,-111.6,-111.6,-12.49,5.05,-109.81,-109.81,-11.2,8.99,610624,6E80160A098849813FB80050C5584DE826234904FEE00143156137000C50030810C04B082802000002F46407330F9B82010000008400020834601440350A22010400005E9E3901CCDA41203A981AA833200DF17BC11B84370C6E20DC51B8C37206E48DF64BE28DAC78809300330118080C020100001395EE43000000,310;311,260;490,Stand Alone,90,2545.290000,5238272,5420441911,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,0C00080010275FF600000000,12,00,08,00,10,39,5FF600000000
32409007,C00F,41,06/29/2026,15:55:51:809,2,00/00/0000,00:00:00:000,,38.903706,-77.007056,0.00,0,0.00,,,4,0,0,-85.3,-85.3,,,272,2510.550000,20,30,C,2,2,2,0,884480,-112.32,-112.32,-11.33,11.4,-112.44,-112.44,-11.79,7.95,96,10.37,-112.88,-112.88,-12.2,5.85,-112.53,-112.53,-11.8,8.49,610624,6E80160A098849813FB80050C5584E6826234904FEE00143156139000C50010810C04B082802000002F46407330F9B82010000008400020834601440350A22010400005E9E3901CCDA41203A981AA8332001217BC11B84370C6E20DC51B8C37206E48DF64BE2882C78409300330118080C020100001395EE43000000,310;311,260;490,Stand Alone,90,2545.290000,5238272,5420441913,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,0C00080010275FF600000000,12,00,08,00,10,39,5FF600000000
32409007,C00F,41,06/29/2026,15:55:51:824,2,00/00/0000,00:00:00:000,,38.903701,-77.007017,0.00,0,0.00,,,5,0,0,-85.2,-85.2,,,283,2510.550000,20,30,C,2,2,1,0,849296,-108.53,-108.53,-11.1,13.85,-109.33,-109.33,-11.62,8.45,48,11.58,-111.43,-111.43,-12.27,5.34,-109.57,-109.57,-11.03,9.36,610624,,,,,,,,,,,,,,,,,,,
32409007,C00F,41,06/29/2026,15:55:51:824,2,00/00/0000,00:00:00:000,,38.903701,-77.007017,0.00,0,0.00,,,5,0,0,-85.2,-85.2,,,272,2510.550000,20,30,C,2,2,2,0,884480,-112.51,-112.51,-11.49,9.82,-112.62,-112.62,-11.95,7.18,96,9.32,-113.43,-113.43,-12.56,6.06,-112.83,-112.83,-11.96,8.14,610624,,,,,,,,,,,,,,,,,,,
32409007,C00F,41,06/29/2026,15:55:51:824,2,00/00/0000,00:00:00:000,,38.903696,-77.006977,0.00,0,0.00,,,6,0,0,-84.2,-84.2,,,283,2510.550000,20,30,C,2,2,1,0,849296,-107.8,-107.8,-11.36,9.9,-108.71,-108.71,-11.98,6.14,0,8.81,-110.92,-110.92,-12.8,4.44,-108.93,-108.93,-11.41,7.5,610624,,,,,,,,,,,,,,,,,,,
32409007,C00F,41,06/29/2026,15:55:51:824,2,00/00/0000,00:00:00:000,,38.903696,-77.006977,0.00,0,0.00,,,6,0,0,-84.2,-84.2,,,272,2510.550000,20,30,C,2,2,2,0,884480,-112.75,-112.75,-11.48,10.25,-112.7,-112.7,-11.79,7.9,96,9.91,-113.55,-113.55,-12.69,5.01,-112.97,-112.97,-12.03,7.9,610624,,,,,,,,,,,,,,,,,,,
32409007,C00F,41,06/29/2026,15:55:51:825,2,00/00/0000,00:00:00:000,,38.903691,-77.006938,0.00,0,0.00,,,7,0,0,-85,-85,,,283,2510.550000,20,30,C,2,2,1,0,849296,-108.29,-108.29,-11.06,14.46,-109.04,-109.04,-11.55,8.87,48,12.04,-112.06,-112.06,-13.23,4.1,-109.48,-109.48,-11.22,9.19,610624,,,,,,,,,,,,,,,,,,,
32409007,C00F,41,06/29/2026,15:55:51:825,2,00/00/0000,00:00:00:000,,38.903691,-77.006938,0.00,0,0.00,,,7,0,0,-85,-85,,,272,2510.550000,20,30,C,2,2,2,0,884480,-112.22,-112.22,-11.39,10.75,-112.86,-112.86,-12.01,6.74,96,9.44,-112.86,-112.86,-12.12,6.12,-112.63,-112.63,-11.85,8.14,610624,,,,,,,,,,,,,,,,,,,
32409007,C00F,41,06/29/2026,15:57:28:703,2,00/00/0000,00:00:00:000,,38.903686,-77.006898,0.00,0,0.00,,,8,0,0,-85.4,-85.4,,,283,2510.550000,20,30,C,1,1,1,0,849264,-110.38,-110.38,-11.24,12.07,-110.8,-110.8,-11.94,6.57,128,9.62,-111,-111,-12.45,6.88,-110.71,-110.71,-12.01,8.6,1D0624,6E80160A098849813FB80050C5584DE826234904FEE00143156137000C50030810C04B082802000002F46407330F9B82010000008400020834601440350A22010400005E9E3901CCDA41203A981AA833200DF17BC11B84370C6E20DC51B8C37206E48DF64BE28DAC78809300330118080C020100001395EE43000000,310;311,260;490,Stand Alone,90,2545.290000,5238272,5420441911,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,0C00080010275FF600000000,12,00,08,00,10,39,5FF600000000
32409007,C00F,41,06/29/2026,15:57:28:711,2,00/00/0000,00:00:00:000,,38.903680,-77.006859,0.00,0,0.00,,,9,0,0,-85.3,-85.3,,,283,2510.550000,20,30,C,1,1,1,0,849264,-110.1,-110.1,-11.18,12.28,-110.58,-110.58,-11.9,6.72,128,9.8,-110.99,-110.99,-12.46,6.29,-110.54,-110.54,-11.92,8.47,1D0624,,,,,,,,,,,,,,,,,,,
