ESN,Protocol,Band,System Date,System Time,GPS Status,UTC Date,UTC Time,Fix Time,Latitude,Longitude,Altitude,Number of Satellites,Velocity,Absolute Time Stamp Date,Absolute Time Stamp Time,Loop Count,Antenna Gain,Cable Loss,SSB RSSI,Adjusted SSB RSSI,SSB RSSI2,Adjusted SSB RSSI2,Cell ID,Channel Frequency,Repetition Period,Subcarrier Spacing,Repetition Pattern,PCIs,Beams,Beam Index,Half Frame Number,Time Offset,PSS_RP,Adjusted PSS_RP,PSS_RQ,PSS_CINR,SSS_RP,Adjusted SSS_RP,SSS_RQ,SSS_CINR,SSS_DELAY_SPREAD,SS_CINR,RSPBCH_RP,Adjusted RSPBCH_RP,RSPBCH_RQ,RSPBCH_CINR,SSB_RP,Adjusted SSB_RP,SSB_RQ,SSB_CINR,MIB Raw,SIB1 Raw,MCC,MNC,Operation Mode,Bandwidth,fCarrier,TAC,Cell Identity,RedCap,TD Pattern,TD Pattern(Full),SIB1 DECODE Raw,Block Length,k_SSB,AL,Candidate,DCI type,DCI length,DCI Contents,PCI Count,Status
32409007,C00F,41,06/29/2026,15:57:28:842,2,00/00/0000,00:00:00:000,,38.903686,-77.006898,0.00,0,0.00,,,8,0,0,-52.4,-52.4,,,625,2600.550000,20,30,C,1,1,0,0,823184,-76.51,-76.51,-10.81,27.41,-76.52,-76.52,-10.8,27.3,0,26.15,-76.57,-76.57,-10.8,26.92,-76.53,-76.53,-10.78,26.38,1F6624,6E80160A098849813FB80053B3784BA826234904FEE0014ECDE12E000C50010810C04B082802000003106044B30F9B82010000008400020834601440350A2200840000621E38112CDA41201F181AA8332019917BC11B84370C6E20DC51B8C37206E48DF6EBE338AC79009300330118080C020100001155EE43000000,310;311,260;490,Stand Alone,100,2640.000000,5238272,5617082670,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,0C16080010275FF600000000,12,16,08,00,10,39,5FF600000000,1,11
32409007,C00F,41,06/29/2026,15:57:28:849,2,00/00/0000,00:00:00:000,,38.903680,-77.006859,0.00,0,0.00,,,9,0,0,-51.9,-51.9,,,625,2600.550000,20,30,C,1,1,0,0,823184,-75.93,-75.93,-10.8,29.76,-75.94,-75.94,-10.8,31.16,0,28.43,-76.05,-76.05,-10.81,28.16,-75.97,-75.97,-10.77,28.34,1F6624,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,41,06/29/2026,15:57:28:849,2,00/00/0000,00:00:00:000,,38.903675,-77.006820,0.00,0,0.00,,,10,0,0,-52.4,-52.4,,,625,2600.550000,20,30,C,1,1,0,0,823184,-76.5,-76.5,-10.8,29.77,-76.5,-76.5,-10.81,25.07,0,26.28,-76.6,-76.6,-10.78,25.86,-76.53,-76.53,-10.76,26.15,1F6624,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,41,06/29/2026,15:57:28:849,2,00/00/0000,00:00:00:000,,38.903670,-77.006780,0.00,0,0.00,,,11,0,0,-52.3,-52.3,,,625,2600.550000,20,30,C,1,1,0,0,823184,-76.44,-76.44,-10.8,25.71,-76.42,-76.42,-10.8,27.77,0,26.12,-76.51,-76.51,-10.78,25.74,-76.46,-76.46,-10.76,26,1F6624,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,41,06/29/2026,15:59:18:186,2,00/00/0000,00:00:00:000,,38.903665,-77.006741,0.00,0,0.00,,,12,0,0,-60.6,-60.6,,,625,2600.550000,20,30,C,1,1,0,0,823128,-85.36,-85.36,-10.81,24.11,-85.39,-85.39,-10.81,21.93,0,23.23,-84.47,-84.47,-10.81,24.65,-85.06,-85.06,-11.12,23.7,756624,6E80160A098849813FB80053B3784BA826234904FEE0014ECDE12E000C50010810C04B082802000003106044B30F9B82010000008400020834601440350A2200840000621E38112CDA41201F181AA8332019917BC11B84370C6E20DC51B8C37206E48DF6EBE338AC79009300330118080C020100001155EE43000000,310;311,260;490,Stand Alone,100,2640.000000,5238272,5617082670,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,0C16080010275FF600000000,12,16,08,00,10,39,5FF600000000,1,11
32409007,C00F,41,06/29/2026,15:59:18:210,2,00/00/0000,00:00:00:000,,38.903628,-77.006533,0.00,0,0.00,,,13,0,0,-60.4,-60.4,,,625,2600.550000,20,30,C,1,1,0,0,823128,-85.18,-85.18,-10.8,27.33,-85.21,-85.21,-10.8,25.62,0,25.87,-84.32,-84.32,-10.82,23.96,-84.9,-84.9,-11.1,25.07,756624,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,41,06/29/2026,15:59:18:210,2,00/00/0000,00:00:00:000,,38.903591,-77.006325,0.00,0,0.00,,,14,0,0,-59.8,-59.8,,,625,2600.550000,20,30,C,1,1,0,0,823128,-84.58,-84.58,-10.81,25.41,-84.62,-84.62,-10.82,24.49,0,24.98,-83.68,-83.68,-10.79,24.82,-84.29,-84.29,-11.1,24.92,756624,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,41,06/29/2026,15:59:18:211,2,00/00/0000,00:00:00:000,,38.903554,-77.006118,0.00,0,0.00,,,15,0,0,-60.5,-60.5,,,625,2600.550000,20,30,C,1,1,0,0,823128,-85.22,-85.22,-10.8,25.86,-85.25,-85.25,-10.81,23.48,0,24.7,-84.44,-84.44,-10.8,22.36,-84.96,-84.96,-11.07,23.7,756624,,,,,,,,,,,,,,,,,,,,1,11
32409007,C00F,41,06/29/2026,16:00:32:963,2,00/00/0000,00:00:00:000,,38.903517,-77.005910,0.00,0,0.00,,,16,0,0,-64.1,-64.1,,,625,2600.550000,20,30,C,1,1,0,0,823056,-88.37,-88.37,-10.81,22.83,-88.65,-88.65,-10.81,23.49,0,23.43,-88.21,-88.21,-10.85,23.68,-88.41,-88.41,-10.94,23.51,1B6624,6E80160A098849813FB80053B3784BA826234904FEE0014ECDE12E000C50010810C04B082802000003106044B30F9B82010000008400020834601440350A2200840000621E38112CDA41201F181AA8332019917BC11B84370C6E20DC51B8C37206E48DF6EBE338AC79009300330118080C020100001155EE43000000,310;311,260;490,Stand Alone,100,2640.000000,5238272,5617082670,No,DDDFUU (3ms) | DDDD (2ms),D3-d3-f8u3-U2 | D4,0C16080010275E3600000000,12,16,08,00,10,39,5E3600000000,1,11
32409007,C00F,41,06/29/2026,16:00:32:971,2,00/00/0000,00:00:00:000,,38.903504,-77.005834,0.00,0,0.00,,,17,0,0,-64.9,-64.9,,,625,2600.550000,20,30,C,1,1,0,0,823056,-89.35,-89.35,-10.81,23.32,-89.42,-89.42,-10.82,21.7,0,22.86,-88.87,-88.87,-10.82,21.29,-89.21,-89.21,-10.99,22.25,1D6624,,,,,,,,,,,,,,,,,,,,1,11
